area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Russian Federation,Poultry Birds,1313896087.435819,998529362.7333395,0.43181040178410734,6850.425154200797
Belarus,Poultry Birds,376308101.0903891,33171305.123729646,0.08100848203922673,3433.511442834713
Kuwait,Poultry Birds,34541023.91935875,11673237.322504058,0.2525895039501346,2612.4203757270416
Israel,Poultry Birds,499381576.4793713,22624162.18143201,0.04334083038909475,2604.791587245732
Azerbaijan,Poultry Birds,75212299.12378874,19947550.529435456,0.20962150110710687,1941.6456089315623
Saudi Arabia,Poultry Birds,582726550.4185042,58304196.86282289,0.09095382258978457,1609.2807596655855
Tunisia,Poultry Birds,97906754.02039604,19325142.789290488,0.1648454329853828,1596.2945745376078
Armenia,Poultry Birds,6941371.802662932,4245494.633726177,0.37950704586194517,1509.5113499632273
Libya,Poultry Birds,93357525.4334864,9422872.741555497,0.09167966761043012,1425.1108346116346
Iran (Islamic Republic of),Poultry Birds,1670311294.7679644,82597080.13412786,0.04712002139800453,949.499095473898
Morocco,Poultry Birds,512761568.6380598,29326471.233868897,0.05409909290896264,803.7106365326217
Mauritius,Poultry Birds,46667723.75695047,752963.4640726745,0.015878375202855843,580.5602825628196
Iraq,Poultry Birds,90270933.31630293,23738064.645497516,0.20821220315830802,564.614616264627
