area,item,amount [t],absolute_losses [t],relative_losses,population,al/capita [kg]
Russian Federation,Poultry Birds,1313896087.435819,998529362.7333395,0.43181040178410734,145761663.0,6850.425154200797
Belarus,Poultry Birds,376308101.0903891,33171305.123729646,0.08100848203922673,9661044.0,3433.511442834713
Kuwait,Poultry Birds,34541023.91935875,11673237.322504058,0.2525895039501346,4468361.0,2612.4203757270416
Israel,Poultry Birds,499381576.4793713,22624162.18143201,0.04334083038909475,8685594.0,2604.791587245732
Azerbaijan,Poultry Birds,75212299.12378874,19947550.529435456,0.20962150110710687,10273528.0,1941.6456089315623
Saudi Arabia,Poultry Birds,582726550.4185042,58304196.86282289,0.09095382258978457,36229972.0,1609.2807596655855
Tunisia,Poultry Birds,97906754.02039604,19325142.789290488,0.1648454329853828,12106251.0,1596.2945745376078
Armenia,Poultry Birds,6941371.802662932,4245494.633726177,0.37950704586194517,2812496.0,1509.5113499632273
Libya,Poultry Birds,93357525.4334864,9422872.741555497,0.09167966761043012,6612028.0,1425.1108346116346
Iran (Islamic Republic of),Poultry Birds,1670311294.7679644,82597080.13412786,0.04712002139800453,86990162.0,949.499095473898
Morocco,Poultry Birds,512761568.6380598,29326471.233868897,0.05409909290896264,36488843.0,803.7106365326217
Mauritius,Poultry Birds,46667723.75695047,752963.4640726745,0.015878375202855843,1296960.0,580.5602825628196
Iraq,Poultry Birds,90270933.31630293,23738064.645497516,0.20821220315830802,42042951.0,564.614616264627
Cyprus,Poultry Birds,11756145.448935932,614650.9050605893,0.04968563764789646,1233778.0,498.1859824543713
United Arab Emirates,Poultry Birds,38154862.057409965,4069987.292557515,0.0963884384482866,9247550.0,440.1151972746852
Lebanon,Poultry Birds,50502179.179354906,2491175.7562814653,0.04700921010393,5694522.0,437.4688088449681
Russian Federation,Wheat and products,30656848.48619441,55476072.84185725,0.6440751339498556,145761663.0,380.59440116196566
Guinea-Bissau,Poultry Birds,2770623.625355701,626473.1270848345,0.18441427275651334,1993303.0,314.2889601253971
Portugal,Poultry Birds,218083981.83373153,3154296.4523570538,0.014257462482501149,10298399.0,306.2899827785905
Oman,Poultry Birds,6655937.206413698,1387834.1705364175,0.17253525808967363,4589136.0,302.4173113493297
Azerbaijan,Wheat and products,316280.0546813231,2745706.8993067523,0.8967075760171397,10273528.0,267.2603704693025
Sri Lanka,Poultry Birds,158304877.94646287,5608494.943614572,0.03421621338593106,21683162.0,258.6566914739913
Belgium,Poultry Birds,334188773.5542489,2647729.317964077,0.007860577150596293,11541273.0,229.4139752143526
Italy,Poultry Birds,525287246.6676146,13609693.964546323,0.025254724861828448,59639898.0,228.1978075238546
Pakistan,Poultry Birds,1349989693.5182817,50094171.129381895,0.03577940750141295,225112860.0,222.5291399584275
Kazakhstan,Poultry Birds,128373692.29488106,4195202.399156973,0.031645450532263086,18861057.0,222.42668579798962
Nepal,Poultry Birds,296377276.7696195,6450101.1366837025,0.021299597088211164,28999227.0,222.42320930429293
Syrian Arab Republic,Poultry Birds,94223253.63277014,3762069.9508651644,0.03839421877965277,20486043.0,183.64063527862186
Turkey,Wheat and products,12232469.345914518,15111580.20918004,0.552646021897095,83811681.0,180.30398661470636
Ecuador,Poultry Birds,187518812.13650903,2989196.3964669406,0.015690660038312876,17487163.0,170.9366119860003
Republic of Korea,Poultry Birds,1013053695.2697194,8825871.239580035,0.008636899619911986,51858128.0,170.19263093299543
Senegal,Poultry Birds,81516112.31868932,2640371.1712899953,0.0313745425402,16215467.0,162.83041193263168
Armenia,Wheat and products,60463.56233723149,427117.0158103392,0.8759926768064752,2812496.0,151.86404382809405
Czech Republic,Poultry Birds,215035967.58254847,1489899.2467858791,0.0068809296025598155,10537911.0,141.38468684978258
Philippines,Poultry Birds,913450654.5762186,15380156.606498599,0.016558620172078986,111287623.0,138.20186101466646
Russian Federation,Barley and products,1488969.1913706153,19638821.137305446,0.9295255600227306,145761663.0,134.73241683106653
Kazakhstan,Wheat and products,12156439.252349297,2478891.7789575066,0.1693772264976342,18861057.0,131.429101717762
Russian Federation,Pigs,24008074.309118353,18930286.286381185,0.44087119358640137,145761663.0,129.8715032249679
Malaysia,Poultry Birds,664420831.4221921,4038421.0731829405,0.006041387052550196,33003638.0,122.36290657360078
Singapore,Poultry Birds,52837761.92235253,714089.8002974093,0.013334549176669874,5893519.0,121.16526650671854
Yemen,Poultry Birds,186106504.18077177,3308871.7170657218,0.017468865457102023,31927129.0,103.63824812014013
Georgia,Wheat and products,240529.99671032463,389453.4280849433,0.6181963092306879,3769183.0,103.32568837462743
Uzbekistan,Poultry Birds,51678143.69892404,3401497.013382584,0.06175597678912559,33243463.0,102.32077847553317
