area,item,amount [t],absolute_losses [t],relative_losses,population,al/capita [kg]
Botswana,Soyabean Cake,57772.898326672024,-25304.519604456993,-0.7793588901050827,2523541.0,-10.027385964585871
New Zealand,Sorghum and products,89536.39262748294,-50727.16382480581,-1.0,5026496.0,-10.091953485053168
Iceland,Soyabeans,3741.3322747962857,-3741.3322747962857,-1.0,364340.0,-10.268793639996392
Namibia,Sunflower seed,26102.780671243167,-26032.780671243167,-1.0,2467077.0,-10.552074649977754
Denmark,Sorghum and products,64463.491493886846,-63354.62446080704,-1.0,5810778.0,-10.902950424333374
Estonia,Sunflowerseed Oil,18686.193343172745,-14938.514221829751,-1.0,1329086.0,-11.23968969790499
Lao People's Democratic Republic,Soyabeans,107673.12387885735,-88800.8438148636,-1.0,7265653.0,-12.222004521116492
Ireland,Soyabeans,74711.20865228304,-63739.441228306074,-1.0,4925074.0,-12.941824067680217
Eswatini,Poultry Birds,6628685.90758144,-15326.787672716193,-0.0023175495833238635,1174222.0,-13.052717180155195
Saint Vincent and the Grenadines,Soyabeans,2940.38908630606,-1379.5330150315592,-0.8838310209506477,104712.0,-13.174545563369616
Bahamas,Soyabean Cake,5471.440032367735,-5471.440032367735,-1.0,405779.0,-13.48379298181457
Solomon Islands,Soyabean Cake,9405.52133043014,-9405.52133043014,-1.0,682897.0,-13.772972103304216
Saint Kitts and Nevis,Sunflower seed,678.156206557639,-678.156206557639,-1.0,47681.0,-14.222776505476794
Namibia,Soyabean Cake,37957.81085857801,-35744.56915644761,-1.0,2467077.0,-14.488631346507468
Saint Vincent and the Grenadines,Sunflower seed,1658.5929847057223,-1658.5929847057223,-1.0,104712.0,-15.839569339767383
Timor-Leste,Soyabeans,23362.173965094233,-20998.031578216378,-1.0,1289754.0,-16.28064854089724
Fiji,Sorghum and products,15039.061077398845,-15015.061077398845,-1.0,918091.0,-16.35465447041616
Ireland,Sorghum and products,82041.98147845989,-82041.98147845989,-1.0,4925074.0,-16.658020057863066
Namibia,Sorghum and products,45076.231448861145,-42076.231448861145,-1.0,2467077.0,-17.05509453043466
Austria,Sunflower seed,307484.28246581316,-160865.90859580872,-1.0,8901106.0,-18.072575317697453
Latvia,Soyabeans,35839.97338186888,-35222.70099823004,-1.0,1907244.0,-18.467852565392807
Romania,Soyabeans,793660.5472003585,-364685.05335771386,-0.8501302722236306,19489730.0,-18.711652411691382
Austria,Sorghum and products,208390.203436569,-167521.582488588,-1.0,8901106.0,-18.82031092412426
Gabon,Sunflower seed,42785.36371941067,-42785.36371941067,-1.0,2267995.0,-18.864840407236645
Lesotho,Soyabean Cake,45033.32124712128,-43360.871450266764,-1.0,2239604.0,-19.360954637635388
Saint Kitts and Nevis,Soyabean Oil,949.7292039547468,-949.7292039547468,-1.0,47681.0,-19.918399445371257
North Macedonia,Sorghum and products,45004.28369060142,-44968.28369060142,-1.0,2114024.0,-21.271415882980243
Qatar,Soyabeans,67579.46544322907,-67579.46544322907,-1.0,2828630.0,-23.89123548969963
Dominica,Soyabean Cake,1721.6718835713436,-1721.6718835713436,-1.0,71764.0,-23.990745827592438
Eswatini,Sunflowerseed Oil,29902.23078905354,-28280.235136374766,-1.0,1174222.0,-24.08423205865225
Lesotho,Soyabeans,55914.4342407447,-55914.4342407447,-1.0,2239604.0,-24.966214670425973
