area,item,amount [t],absolute_losses [t],relative_losses,population,al/capita [kg]
Slovenia,"Alcohol, Non-Food",24914.61543720083,-21236.29668036561,-1.0,2116252.0,-10.034861954231165
Bosnia and Herzegovina,Wheat and products,561283.7561623927,-33915.225294812466,-0.06431029405379607,3340974.0,-10.151298781377067
Republic of Korea,Soyabeans,1443106.4322055976,-531686.4655962539,-0.5833605638180486,51858128.0,-10.252712276776629
Venezuela (Bolivarian Republic of),Soyabean Cake,474147.7719962451,-296728.48222294974,-1.0,28628832.0,-10.36467300597348
Congo,Poultry Meat,183509.52604644804,-58430.87201722646,-0.46715302839424155,5635288.0,-10.368746374138546
Nicaragua,Barley and products,88436.09583964902,-70931.41090974206,-1.0,6709705.0,-10.571464901920734
Bahamas,Hides and skins,4489.308986507412,-4387.929499952622,-1.0,405779.0,-10.813594345573875
Bahamas,Barley and products,6553.514735307925,-4439.088565958764,-1.0,405779.0,-10.939670524987157
Viet Nam,Sorghum and products,1069619.8048174288,-1069619.8048174288,-1.0,96203595.0,-11.118293498464675
Switzerland,Sorghum and products,95963.81182349144,-95963.81182349144,-1.0,8606431.0,-11.150244720894346
Denmark,Poultry Meat,280891.9543361026,-65166.666185767535,-0.3020817204348989,5810778.0,-11.21479192386416
Zambia,Beer,570475.448294501,-209719.97749373585,-0.5813355429599516,18654918.0,-11.24207447568174
Bangladesh,Poultry Birds,358815968.7034979,-1874438.0036426783,-0.005251386690608539,166426993.0,-11.262824436434288
Lithuania,Rabbits and hares,183795.9620726997,-32176.76141795123,-0.21222088811311446,2835900.0,-11.346225684245294
Barbados,Poultry Meat,19735.672917182925,-3194.3892899487364,-0.19311616691520683,280427.0,-11.39116165686163
Chile,Soyabean Oil,320512.31657221215,-219011.00511392258,-1.0,19206688.0,-11.402851189852337
Lithuania,Milk - Excluding Butter,1997423.3876553893,-32405.8821486237,-0.016491396162023664,2835900.0,-11.427018635573786
Trinidad and Tobago,Milk - Excluding Butter,52263.37782793609,-17413.577353065724,-0.4996750947145989,1513900.0,-11.502462086706998
Bolivia (Plurinational State of),Soyabean Cake,1346257.1850439415,-136989.05910367076,-0.11328261794476258,11862346.0,-11.54822655684388
Croatia,"Alcohol, Non-Food",60804.20820688346,-47559.202070908665,-1.0,4114639.0,-11.558535772131812
Sao Tome and Principe,Poultry Birds,1012690.720255,-2543.04478005087,-0.0025174980270634695,216222.0,-11.761267493829815
Grenada,Soyabean Cake,3017.4795850102664,-1462.9934717528627,-0.9411428376720461,123159.0,-11.878900216410191
Niger,Soyabean Cake,290370.29453945573,-289349.04100228456,-1.0,23881690.0,-12.115936560699204
Mozambique,"Alcohol, Non-Food",381435.3596242026,-374263.9203848717,-1.0,30720752.0,-12.182772100919657
Guyana,Eggs,13263.901597927976,-9657.569066866068,-1.0,791842.0,-12.196333443876515
Bolivia (Plurinational State of),Milk - Excluding Butter,747501.8317509602,-144764.21978957532,-0.24017784342094428,11862346.0,-12.203675376656127
Paraguay,Soyabean Cake,2910029.043070008,-80407.00559824798,-0.028416164609069483,6573039.0,-12.23285083174586
Bulgaria,Poultry Birds,47871504.944603875,-86906.53752035648,-0.0018187144062609129,7020235.0,-12.379434238363313
Denmark,Wheat and products,4206397.194257919,-72062.50791897392,-0.017430255019529328,5810778.0,-12.401524876526675
Belarus,Soyabean Oil,206491.68764721163,-120200.35312752912,-1.0,9661044.0,-12.441756100844703
Slovenia,Wheat and products,267482.04105491046,-26418.58223925045,-0.10959181606803625,2116252.0,-12.483665574445032
Greece,Soyabean Oil,179739.575312886,-134062.30266707262,-1.0,10543346.0,-12.715346974961518
Iraq,"Alcohol, Non-Food",551085.9800493126,-542520.4036789996,-1.0,42042951.0,-12.90395632977808
Eswatini,Beer,46735.894556789535,-15225.192297648184,-0.4831752771625808,1174222.0,-12.966195742924407
Peru,Pigs,3378296.018711266,-433119.77105131187,-0.14706073071023873,33090281.0,-13.089032729921872
Finland,Wheat and products,672876.5786383991,-72521.98006913555,-0.12079857511205283,5525215.0,-13.125639467266984
Estonia,"Alcohol, Non-Food",21267.995969073527,-17649.804319909515,-1.0,1329086.0,-13.279655582791118
Guatemala,Soyabean Oil,283460.623389681,-229143.9264015798,-1.0,17231172.0,-13.298220597042372
Romania,"Alcohol, Non-Food",375442.7150890083,-259511.93263399147,-1.0,19489730.0,-13.315316971245444
Kuwait,Sheep,3039855.281731615,-59555.02860554773,-0.019982895529764066,4468361.0,-13.328159610547969
Latvia,Rabbits and hares,49309.1471796757,-25448.159361834027,-1.0,1907244.0,-13.342896536486169
Egypt,Maize and products,15437704.143941296,-1423155.8259462155,-0.10154846190218225,106538719.0,-13.358109045277855
Dominican Republic,Sorghum and products,146744.25230361542,-146388.25230361542,-1.0,10939347.0,-13.381809015073333
South Africa,Soyabean Oil,1109887.9051340446,-791545.1480157941,-1.0,58466143.0,-13.538521739253333
Gabon,"Alcohol, Non-Food",32935.02664961258,-31105.227575841698,-1.0,2267995.0,-13.714857209051033
"China, Macao SAR",Poultry Birds,3467987.7186562014,-9242.780532991048,-0.0026722931867899646,670019.0,-13.794803629435954
Angola,Poultry Birds,57058406.07862531,-454933.43071219325,-0.008037200006119516,32898997.0,-13.8281854219505
