,area,item,amount [t],comm_group,group
0,Afghanistan,Abaca,0.0,Fibre crops,Primary crops
1,Afghanistan,"Alcohol, Non-Food",1923.548466086237,Ethanol,Crop products
2,Afghanistan,Apples and products,273405.02801858727,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Afghanistan,Asses,0.0,Live animals,Livestock
4,Afghanistan,Bananas,97000.99140992851,"Vegetables, fruit, nuts, pulses, spices",Primary crops
5,Afghanistan,Barley and products,128904.3167070629,Cereals,Primary crops
6,Afghanistan,Beans,0.0,"Vegetables, fruit, nuts, pulses, spices",Primary crops
7,Afghanistan,Beer,0.0,Alcohol,Crop products
8,Afghanistan,"Beverages, Alcoholic",0.0,Alcohol,Crop products
9,Afghanistan,"Beverages, Fermented",0.0,Alcohol,Crop products
10,Afghanistan,Bovine Meat,124951.66621912557,Meat,Livestock products
11,Afghanistan,Buffaloes,0.0,Live animals,Livestock
12,Afghanistan,"Butter, Ghee",35921.13998524227,Milk,Livestock products
13,Afghanistan,"Camelids, other",0.0,Live animals,Livestock
14,Afghanistan,Camels,20428.986756234568,Live animals,Livestock
15,Afghanistan,Cassava and products,2896.508852852477,Roots and tubers,Primary crops
16,Afghanistan,Cattle,655370.7800150053,Live animals,Livestock
17,Afghanistan,"Cereals, Other",0.0,Cereals,Primary crops
18,Afghanistan,"Citrus, Other",54795.95489789282,"Vegetables, fruit, nuts, pulses, spices",Primary crops
19,Afghanistan,Cloves,0.0,"Vegetables, fruit, nuts, pulses, spices",Primary crops
20,Afghanistan,Cocoa Beans and products,0.0,"Coffee, tea, cocoa",Primary crops
21,Afghanistan,Coconut Oil,0.0,Vegetable oils,Crop products
22,Afghanistan,Coconuts - Incl Copra,2001.05829320245,Oil crops,Primary crops
23,Afghanistan,Coffee and products,0.0,"Coffee, tea, cocoa",Primary crops
24,Afghanistan,Copra Cake,0.0,Oil cakes,Crop products
25,Afghanistan,Cotton lint,24439.999999999964,Fibre crops,Crop products
26,Afghanistan,Cottonseed,47999.99999999992,Fibre crops,Crop products
27,Afghanistan,Cottonseed Cake,21011.134789005722,Oil cakes,Crop products
28,Afghanistan,Cottonseed Oil,18450.32219215421,Vegetable oils,Crop products
29,Afghanistan,Dates,995.3805291569555,"Vegetables, fruit, nuts, pulses, spices",Primary crops
30,Afghanistan,Eggs,42424.04718074433,Eggs,Livestock products
31,Afghanistan,"Fats, Animals, Raw",10998.145159973883,Animal fats,Livestock products
32,Afghanistan,"Fish, Seafood",12148.990438968454,Fish,Fish
33,Afghanistan,Fodder crops,0.0,Fodder crops,Primary crops
34,Afghanistan,"Fruits, Other",416138.99334959773,"Vegetables, fruit, nuts, pulses, spices",Primary crops
35,Afghanistan,Goats,3608210.301293859,Live animals,Livestock
36,Afghanistan,Grapefruit and products,999.8967993877321,"Vegetables, fruit, nuts, pulses, spices",Primary crops
37,Afghanistan,Grapes and products (excl wine),993592.8901876544,"Vegetables, fruit, nuts, pulses, spices",Primary crops
38,Afghanistan,Grazing,38066589.0,Grazing,Primary crops
39,Afghanistan,Groundnut Cake,0.0,Oil cakes,Crop products
40,Afghanistan,Groundnut Oil,0.0,Vegetable oils,Crop products
41,Afghanistan,Groundnuts,15049.392490658147,Oil crops,Primary crops
42,Afghanistan,"Hard Fibres, Other",0.0,Fibre crops,Primary crops
43,Afghanistan,Hides and skins,43543.946311972766,"Hides, skins, wool",Livestock products
44,Afghanistan,Honey,2000.0,Honey,Livestock products
45,Afghanistan,Hops,0.0,"Vegetables, fruit, nuts, pulses, spices",Primary crops
46,Afghanistan,Horses,0.0,Live animals,Livestock
47,Afghanistan,Jute,0.0,Fibre crops,Primary crops
48,Afghanistan,Jute-Like Fibres,0.0,Fibre crops,Primary crops
49,Afghanistan,"Lemons, Limes and products",1996.560130761291,"Vegetables, fruit, nuts, pulses, spices",Primary crops
50,Afghanistan,Maize Germ Oil,1840.7156204419662,Vegetable oils,Crop products
51,Afghanistan,Maize and products,345053.11154803395,Cereals,Primary crops
52,Afghanistan,"Meat, Other",11992.267769542606,Meat,Livestock products
53,Afghanistan,Milk - Excluding Butter,2148641.2075649444,Milk,Livestock products
54,Afghanistan,Millet and products,5997.471236019551,Cereals,Primary crops
55,Afghanistan,Mules,0.0,Live animals,Livestock
56,Afghanistan,Mutton & Goat Meat,156993.99003095276,Meat,Livestock products
57,Afghanistan,Nuts and products,76101.47559037399,"Vegetables, fruit, nuts, pulses, spices",Primary crops
58,Afghanistan,Oats,1664.2544648536968,Cereals,Primary crops
59,Afghanistan,"Offals, Edible",55932.42051002047,Meat,Livestock products
60,Afghanistan,"Oil, palm fruit",0.0,Oil crops,Primary crops
61,Afghanistan,"Oilcrops Oil, Other",13648.714465025882,Vegetable oils,Crop products
62,Afghanistan,"Oilcrops, Other",33895.63869578542,Oil crops,Primary crops
63,Afghanistan,"Oilseed Cakes, Other",18006.821145738744,Oil cakes,Crop products
64,Afghanistan,Olive Oil,1000.0000000000002,Vegetable oils,Crop products
65,Afghanistan,Olives (including preserved),9000.0,Oil crops,Primary crops
66,Afghanistan,Onions,346052.9475576752,"Vegetables, fruit, nuts, pulses, spices",Primary crops
