area,item,amount [t],absolute_losses [t],relative_losses,population,al/capita [kg]
Afghanistan,Abaca,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,"Alcohol, Non-Food",144779.89204834143,-142754.4062432266,-1.0,38326027.0,-3.724737924002053
Afghanistan,Apples and products,0.0001146704945225,273405.0279039168,0.9999999995805838,38326027.0,7.133664752256131
Afghanistan,Asses,,0.0,0.0,38326027.0,0.0
Afghanistan,Bananas,4.994212893088479e-07,97000.9914094291,0.9999999999948513,38326027.0,2.530943043207403
Afghanistan,Barley and products,1502.2823913024074,130815.44137634482,0.9886464008862452,38326027.0,3.413227292678806
Afghanistan,Beans,101.5916609625372,-101.5916609625372,-1.0,38326027.0,-0.0026507224702037916
Afghanistan,Beer,29001.836995718248,-29001.836995718248,-1.0,38326027.0,-0.7567138904253824
Afghanistan,"Beverages, Alcoholic",562.8637534196826,-562.8637534196826,-1.0,38326027.0,-0.014686201453119116
Afghanistan,"Beverages, Fermented",5837.104578763494,-5837.104578763494,-1.0,38326027.0,-0.15230132199101917
Afghanistan,Bovine Meat,,0.0,0.0,38326027.0,0.0
Afghanistan,Buffaloes,,0.0,0.0,38326027.0,0.0
Afghanistan,"Butter, Ghee",,0.0,0.0,38326027.0,0.0
Afghanistan,"Camelids, other",0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Camels,,0.0,0.0,38326027.0,0.0
Afghanistan,Cassava and products,6.530293205047948e-10,2896.508852851824,0.9999999999997745,38326027.0,0.07557550520046923
Afghanistan,Cattle,,0.0,0.0,38326027.0,0.0
Afghanistan,"Cereals, Other",76.38995297843478,-76.38995297843478,-1.0,38326027.0,-0.001993161278585823
Afghanistan,"Citrus, Other",5.329055292990523,54790.62584259983,0.9999027472866762,38326027.0,1.4295931546100469
Afghanistan,Cloves,1.085323491387466e-12,-1.085323491387466e-12,-1.0,38326027.0,-2.831818417775122e-17
Afghanistan,Cocoa Beans and products,0.0065263579923415,-0.0065263579923415,-1.0,38326027.0,-1.702852735646588e-07
Afghanistan,Coconut Oil,0.0137396368947126,-0.0137396368947126,-1.0,38326027.0,-3.58493639184479e-07
Afghanistan,Coconuts - Incl Copra,12.82425242781325,1988.2340407746367,0.9935912649464651,38326027.0,0.05187686270676156
Afghanistan,Coffee and products,5.725889836846218e-07,-5.725889836846218e-07,-1.0,38326027.0,-1.4939951476959033e-11
Afghanistan,Copra Cake,0.0001569088242535,-0.0001569088242535,-1.0,38326027.0,-4.094054002871208e-09
Afghanistan,Cotton lint,3751.188792577152,20688.811207422812,0.8465143701891507,38326027.0,0.5398110064323342
Afghanistan,Cottonseed,8416.519218354126,39583.48078164579,0.8246558496176221,38326027.0,1.0328093956006916
Afghanistan,Cottonseed Cake,2721.6498811070983,18289.48490789862,0.870466307106305,38326027.0,0.4772079534332797
Afghanistan,Cottonseed Oil,1195.096120812231,17255.22607134198,0.9352262736462981,38326027.0,0.4502221446366454
Afghanistan,Dates,0.0006333803968932,1000.999366619603,0.9999993672523507,38326027.0,0.02611800504705596
Afghanistan,Eggs,,0.0,0.0,38326027.0,0.0
Afghanistan,"Fats, Animals, Raw",,0.0,0.0,38326027.0,0.0
Afghanistan,"Fish, Seafood",99.51164989291668,12049.478789075538,0.9918090601525433,38326027.0,0.3143941528057562
Afghanistan,Fodder crops,1.0320880769146186e-14,-1.0320880769146186e-14,-1.0,38326027.0,-2.6929169488781565e-19
Afghanistan,"Fruits, Other",6.190582636207104e-05,416138.9932876919,0.9999999998512377,38326027.0,10.857869334791522
Afghanistan,Goats,,0.0,0.0,38326027.0,0.0
Afghanistan,Grapefruit and products,0.0050867421954062,999.8917126455366,0.9999949127327955,38326027.0,0.026089104217495246
Afghanistan,Grapes and products (excl wine),1.2613199685266824e-09,993592.8901876531,0.9999999999999988,38326027.0,25.92475578508707
Afghanistan,Grazing,0.0,38066589.0,1.0,38326027.0,993.230761957142
Afghanistan,Groundnut Cake,0.0231103504488731,-0.0231103504488731,-1.0,38326027.0,-6.029936379493001e-07
Afghanistan,Groundnut Oil,0.937671306925664,-0.937671306925664,-1.0,38326027.0,-2.4465653769060488e-05
Afghanistan,Groundnuts,2164.90753772792,12885.337019390408,0.8561546605098864,38326027.0,0.3362033069430966
Afghanistan,"Hard Fibres, Other",2.311756714064448e-12,-2.311756714064448e-12,-1.0,38326027.0,-6.03181935363258e-17
Afghanistan,Hides and skins,,0.0,0.0,38326027.0,0.0
Afghanistan,Honey,1.5781656155997672,1998.4218343844002,0.9992109171922001,38326027.0,0.05214268190085031
Afghanistan,Hops,0.0042055648782194,-0.0042055648782194,-1.0,38326027.0,-1.0973130291379798e-07
Afghanistan,Horses,,0.0,0.0,38326027.0,0.0
Afghanistan,Jute,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Jute-Like Fibres,,0.0,0.0,38326027.0,0.0
Afghanistan,"Lemons, Limes and products",1.6502344740588682e-09,1996.592522563948,0.9999999999991734,38326027.0,0.05209495162553499
Afghanistan,Maize Germ Oil,64.0534629926355,1827.8088251420772,0.9661426397712123,38326027.0,0.04769105926742882
Afghanistan,Maize and products,22897.58374834923,322197.59962980694,0.933648498005091,38326027.0,8.406757100854907
Afghanistan,"Meat, Other",,0.0,0.0,38326027.0,0.0
Afghanistan,Milk - Excluding Butter,,0.0,0.0,38326027.0,0.0
Afghanistan,Millet and products,2818969.1968951486,-2812971.725659129,-1.0,38326027.0,-73.39586035513489
Afghanistan,Mules,,0.0,0.0,38326027.0,0.0
Afghanistan,Mutton & Goat Meat,,0.0,0.0,38326027.0,0.0
Afghanistan,Nuts and products,2.8997100935617917e-05,76101.47556137688,0.9999999996189679,38326027.0,1.9856343461162016
Afghanistan,Oats,353.4608935799677,1647.2809441854415,0.8233350815641755,38326027.0,0.04298073849881287
Afghanistan,"Offals, Edible",,0.0,0.0,38326027.0,0.0
Afghanistan,"Oil, palm fruit",0.0,0.0,0.0,38326027.0,0.0
Afghanistan,"Oilcrops Oil, Other",9523.28313012006,4125.431334905821,0.30225786798288024,38326027.0,0.10764046413957337
Afghanistan,"Oilcrops, Other",3937.01980297534,29958.61889281008,0.8838487795344341,38326027.0,0.7816781763685048
Afghanistan,"Oilseed Cakes, Other",1832.644090445908,16174.618197959222,0.8982275005998026,38326027.0,0.42202700003209886
Afghanistan,Olive Oil,0.0279547227839263,999.9720452772164,0.9999720452772161,38326027.0,0.026091200250869112
Afghanistan,Olives (including preserved),6.110660482338873e-12,8999.999999999995,0.9999999999999993,38326027.0,0.23482736679176253
Afghanistan,Onions,0.0001035585888073,346052.9998964414,0.9999999997007436,38326027.0,9.029190526230161
Afghanistan,"Oranges, Mandarines",2.3411972686818114e-08,144039.9853963057,0.9999999999998375,38326027.0,3.75828116481538
Afghanistan,Palm Oil,2.89472318132286e-09,155297.6730386128,0.9999999999999813,38326027.0,4.052015958727284
Afghanistan,Palm kernels,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Palmkernel Cake,0.0009678769939201,-0.0009678769939201,-1.0,38326027.0,-2.5253778428953774e-08
Afghanistan,Palmkernel Oil,3.5793542381136513e-06,-3.5793542381136513e-06,-1.0,38326027.0,-9.339225895012942e-11
Afghanistan,Peas,7.519564364142786,27120.147326820283,0.9997228082903589,38326027.0,0.707616975973541
Afghanistan,Pepper,0.0002885812721163,-0.0002885812721163,-1.0,38326027.0,-7.52964224849865e-09
Afghanistan,Pigmeat,,0.0,0.0,38326027.0,0.0
Afghanistan,Pigs,,0.0,0.0,38326027.0,0.0
Afghanistan,Pimento,0.7973072548539485,2994.278964028951,0.9997337940063502,38326027.0,0.07812651606254285
Afghanistan,Pineapples and products,1.6374964086567832e-10,944.0981293717883,0.9999999999998266,38326027.0,0.024633341968156218
Afghanistan,Plantains,1.1978266726473788e-20,-1.1978266726473788e-20,-1.0,38326027.0,-3.1253609267858077e-25
Afghanistan,Potatoes and products,13115.864176247716,925086.9786166206,0.9860202255013383,38326027.0,24.137304360209857
Afghanistan,Poultry Birds,,0.0,0.0,38326027.0,0.0
Afghanistan,Poultry Meat,,0.0,0.0,38326027.0,0.0
Afghanistan,"Pulses, Other and products",7121.71879062112,60694.7023209952,0.8949853343204329,38326027.0,1.5836419026943545
Afghanistan,Rabbits and hares,,0.0,0.0,38326027.0,0.0
Afghanistan,Rape and Mustard Cake,870.491324340228,24.18012934047158,0.027026825591667136,38326027.0,0.0006309062335230202
Afghanistan,Rape and Mustard Oil,731.0643786369508,1012.7471051107436,0.5807663927835873,38326027.0,0.026424526213237383
Afghanistan,Rape and Mustardseed,2537.8039538056346,-2537.8039538056346,-1.0,38326027.0,-0.06621620221176681
Afghanistan,Rice and products,5583.820702778986,895420.5130146574,0.9938026705379531,38326027.0,23.36324902695125
Afghanistan,Ricebran Oil,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,"Rodents, other",0.0,0.0,0.0,38326027.0,0.0
