area,item,amount [t],absolute_losses [t],relative_losses,population,al/capita [kg]
Afghanistan,Abaca,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,"Alcohol, Non-Food",116974.24024068077,-114948.75443556595,-1.0,38326027.0,-2.9992348133441005
Afghanistan,Apples and products,273944.43229520327,-539.4042766159982,-0.0019729127899554832,38326027.0,-0.014074098434883381
Afghanistan,Asses,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Bananas,97000.99140992852,0.0,0.0,38326027.0,0.0
Afghanistan,Barley and products,8.225761405823322e+18,-8.22576140582319e+18,-1.0,38326027.0,-214625987865196.4
Afghanistan,Beans,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Beer,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,"Beverages, Alcoholic",0.0,0.0,0.0,38326027.0,0.0
Afghanistan,"Beverages, Fermented",0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Bovine Meat,246404548104739.72,-246404547979774.53,-1.0,38326027.0,-6429170129.733889
Afghanistan,Buffaloes,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,"Butter, Ghee",1.0063366641769592e+16,-1.0063366641733662e+16,-1.0,38326027.0,-262572654393.15332
Afghanistan,"Camelids, other",0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Camels,3104165194946643.0,-3104165194926211.0,-1.0,38326027.0,-80993659867.90677
Afghanistan,Cassava and products,2896.508852852477,0.0,0.0,38326027.0,0.0
Afghanistan,Cattle,7.379540022576971e+16,-7.379540022511427e+16,-1.0,38326027.0,-1925464390689.7595
Afghanistan,"Cereals, Other",0.0,0.0,0.0,38326027.0,0.0
Afghanistan,"Citrus, Other",54795.95489789282,0.0,0.0,38326027.0,0.0
Afghanistan,Cloves,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Cocoa Beans and products,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Coconut Oil,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Coconuts - Incl Copra,2001.05829320245,0.0,0.0,38326027.0,0.0
Afghanistan,Coffee and products,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Copra Cake,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Cotton lint,24439.999999999964,0.0,0.0,38326027.0,0.0
Afghanistan,Cottonseed,47999.99999999992,0.0,0.0,38326027.0,0.0
Afghanistan,Cottonseed Cake,21011.13478900572,0.0,0.0,38326027.0,0.0
Afghanistan,Cottonseed Oil,18450.32219215421,0.0,0.0,38326027.0,0.0
Afghanistan,Dates,1001.0,0.0,0.0,38326027.0,0.0
Afghanistan,Eggs,552248704040592.1,-552248703996569.6,-1.0,38326027.0,-14409234330.40867
Afghanistan,"Fats, Animals, Raw",11860002632212.863,-11860002621214.209,-1.0,38326027.0,-309450353.96479285
Afghanistan,"Fish, Seafood",12148.990438968454,0.0,0.0,38326027.0,0.0
Afghanistan,Fodder crops,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,"Fruits, Other",416138.9937760152,-0.0004264174494892359,-1.0246996584584167e-09,38326027.0,-1.1126054090846304e-08
Afghanistan,Goats,5.1718188061243656e+16,-5.17181880576354e+16,-1.0,38326027.0,-1349427324090.6343
Afghanistan,Grapefruit and products,999.896799387732,0.0,0.0,38326027.0,0.0
Afghanistan,Grapes and products (excl wine),993592.8901876544,0.0,0.0,38326027.0,0.0
Afghanistan,Grazing,38066589.0,0.0,0.0,38326027.0,0.0
Afghanistan,Groundnut Cake,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Groundnut Oil,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Groundnuts,15050.512210018574,-0.26765290024559363,-1.7783956880457197e-05,38326027.0,-6.983580642094565e-06
Afghanistan,"Hard Fibres, Other",0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Hides and skins,70518382773985.08,-70518382730438.05,-1.0,38326027.0,-1839960680.7780533
Afghanistan,Honey,2000.0,0.0,0.0,38326027.0,0.0
Afghanistan,Hops,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Horses,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Jute,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Jute-Like Fibres,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,"Lemons, Limes and products",1996.5825123915731,0.010010174025183005,5.013628926353597e-06,38326027.0,2.611847563845583e-07
Afghanistan,Maize Germ Oil,1891.8522177694344,0.010070365278352256,5.322990653922055e-06,38326027.0,2.6275526232740626e-07
Afghanistan,Maize and products,345094.69824712543,0.4851310307276435,1.4057890520557947e-06,38326027.0,1.2658004721638472e-05
Afghanistan,"Meat, Other",34385327721763.027,-34385327709769.258,-1.0,38326027.0,-897179551.3729941
Afghanistan,Milk - Excluding Butter,5.973726253744507e+17,-5.973726253723014e+17,-1.0,38326027.0,-15586604512184.408
