area,item,amount [t],absolute_losses [t],relative_losses,population,al/capita [kg]
Israel,Poultry Birds,2343810.0858873036,519661928.574916,0.9955099917255693,8685594.0,59830.3269269685
New Zealand,Grazing,0.0,228552141.0,1.0,5026496.0,45469.4763509212
Belarus,Poultry Birds,205474.49676522816,409273931.71735346,0.999498205541849,9661044.0,42363.323437648505
Uruguay,Grazing,0.0,140967443.0,1.0,3428271.0,41119.107270107874
Netherlands,Poultry Birds,11648760.833219051,659189075.8840073,0.9826355041477345,17402277.0,37879.472662342254
Mauritius,Poultry Birds,1193490.900074782,46227196.32094836,0.974831851455209,1296960.0,35642.73094077563
Brunei Darussalam,Poultry Birds,370285.43515195086,15652478.082849612,0.9768900393033989,439893.0,35582.46683363821
Mongolia,Grazing,0.0,109241273.0,1.0,3266463.0,33443.29110723128
Poland,Poultry Birds,4504321.229834597,1281105108.759414,0.9964963533054729,38477966.0,33294.51220886816
Guyana,Poultry Birds,2177478.949873996,25598360.99966046,0.9216052888470617,791842.0,32327.6120736971
Belgium,Poultry Birds,1280.8742151167785,336835221.9979979,0.9999961973414276,11541273.0,29185.274622478635
Panama,Poultry Birds,758635.7212101105,115494705.16265789,0.9934742888639394,4265541.0,27076.214989530727
Barbados,Poultry Birds,132565.82981042832,7496169.308996428,0.9826228296829871,280427.0,26731.26806262032
Denmark,Poultry Birds,326149.34274885233,154616035.2889093,0.9978950255314639,5810778.0,26608.491201850986
United States of America,Poultry Birds,32257122.28781988,8913158544.693075,0.9963940052101897,335388238.0,26575.64438706725
Belize,Poultry Birds,383366.3513514658,10217753.922204046,0.9638371849899889,392426.0,26037.40303191951
Jamaica,Poultry Birds,209452.20413002424,70605158.44557329,0.9970422459121309,2814473.0,25086.457907243483
Jordan,Poultry Birds,978757.0728493072,256948351.47349042,0.9962052958358448,10817077.0,23753.954184988273
Brazil,Poultry Birds,1078739117.5697155,4987947028.751019,0.8221864306885335,212564935.0,23465.52138879829
New Zealand,Poultry Birds,1307279.5466079735,107938352.9534196,0.9880335761101695,5026496.0,21473.876225788223
Portugal,Poultry Birds,452597.6177532612,220785680.66833532,0.9979542526670362,10298399.0,21438.83536347109
El Salvador,Poultry Birds,160756.99869360862,132740788.93774155,0.9987904053518648,6280922.0,21133.96551298385
Peru,Poultry Birds,3265159.8393548676,688267005.3847578,0.9952783688112372,33090281.0,20799.67242903612
