area,item,amount [t],absolute_losses [t],relative_losses,population,al/capita [kg]
Albania,"Roots, Other",28949.865321905178,-28949.865321905178,-1.0,2872130.0,-10.079580423555054
Madagascar,"Alcohol, Non-Food",293899.5743186776,-282556.4222859291,-1.0,27879131.0,-10.135051278532645
Zambia,Beer,551166.4972609197,-190411.02646015445,-0.5278118888606209,18654918.0,-10.207014925509426
Burundi,Sunflowerseed Cake,124986.6845662297,-124969.88496146958,-1.0,12053897.0,-10.367591905046938
Togo,"Beverages, Alcoholic",102941.13871811135,-86792.34524865143,-1.0,8342236.0,-10.403966664171504
Indonesia,Millet and products,2899952.3221757296,-2823947.410263898,-1.0,270825848.0,-10.427170933344213
Kenya,Sugar (Raw Equivalent),1569158.6365074008,-544088.077234478,-0.5307810982498578,51460211.0,-10.572985742994291
Belize,Beans,11775.994517618969,-4154.74769098158,-0.5451532781303079,392426.0,-10.587340520204013
Liberia,Millet and products,53969.48745408397,-53969.48745408397,-1.0,5034191.0,-10.720587966186416
Bahamas,"Roots, Other",4368.953454431488,-4368.953454431488,-1.0,405779.0,-10.766829861652496
Nicaragua,Sugar (Raw Equivalent),854564.9843980029,-72407.16449293797,-0.09257359915128949,6709705.0,-10.791408041476931
Bosnia and Herzegovina,Millet and products,36455.779256787195,-36455.779256787195,-1.0,3340974.0,-10.911721928032723
Israel,Sesame seed,156122.5389716727,-95689.67680008739,-1.0,8685594.0,-11.01705615068899
Latvia,Rape and Mustardseed,370043.18726558966,-21594.81805048714,-0.06197422619348325,1907244.0,-11.322525094055685
Suriname,"Alcohol, Non-Food",6852.159574669496,-6852.159574669496,-1.0,603805.0,-11.348298829372885
Central African Republic,Beer,88588.89802916732,-60890.44629719632,-1.0,5272026.0,-11.549724204166733
Belize,Rape and Mustard Cake,4566.92590429497,-4566.92590429497,-1.0,392426.0,-11.637674120203476
Mozambique,Sesame seed,496877.82666503073,-363877.82666503027,-1.0,30720752.0,-11.84469138857767
Belize,"Beverages, Alcoholic",13478.053110427474,-4665.730327853167,-0.5294552234377174,392426.0,-11.889452604702969
Barbados,"Pulses, Other and products",5336.8606135027985,-3336.8606135027985,-1.0,280427.0,-11.899213034061622
Botswana,Sugar (Raw Equivalent),102589.3356762519,-30455.930708702494,-0.42221673470708443,2523541.0,-12.068728310220635
Congo,Rape and Mustardseed,68882.72065363468,-68362.69378772988,-1.0,5635288.0,-12.131180125617337
Syrian Arab Republic,Beer,257888.2360221444,-249044.9855054561,-1.0,20486043.0,-12.156812592136808
Cambodia,Sunflowerseed Cake,200297.10674569992,-199394.5104401266,-1.0,16296280.0,-12.235584467137691
Bahrain,"Alcohol, Non-Food",19959.60857902867,-18421.43339846332,-1.0,1494033.0,-12.330004356304928
Angola,Sesame seed,410704.6011294716,-407704.6011294716,-1.0,32898997.0,-12.392614921648573
Solomon Islands,Maize and products,8465.5304482918,-8465.5304482918,-1.0,682897.0,-12.396496760553642
New Zealand,"Alcohol, Non-Food",87944.89598998342,-62372.84018223263,-1.0,5026496.0,-12.40881126379741
Cambodia,Sunflower seed,202275.71236961975,-202275.71236961975,-1.0,16296280.0,-12.41238567143052
