area,item,amount [t],absolute_losses [t],relative_losses,population,al/capita [kg]
"China, Taiwan Province of",Poultry Birds,368420048.1707509,-247647.41607248783,-0.0006726398164687009,23800896.0,-10.40496190027837
Kenya,Millet and products,669272.4638346698,-546377.0390557855,-1.0,51460211.0,-10.617465969111272
Portugal,Sesame seed,111462.4680820396,-111462.4680820396,-1.0,10298399.0,-10.823281180117377
Mexico,Poultry Birds,1803776923.4199357,-1712124.6902821064,-0.0009500905247630254,125610461.0,-13.630430751162567
New Zealand,Poultry Birds,109315043.9524557,-69411.4524281323,-0.0006353705025976542,5026496.0,-13.809113232783293
Bulgaria,Poultry Birds,47893708.628404416,-109110.22132089734,-0.0022833763379441763,7020235.0,-15.542246281057164
Ukraine,Poultry Birds,754933390.9832398,-710709.1724272966,-0.0009423068141107827,44090693.0,-16.119256107571196
"China, mainland",Sesame seed,28605486.621777337,-27274959.631134372,-1.0,1423998019.0,-19.15379043173681
Turkey,Poultry Birds,1197454803.9315565,-1611151.5922646523,-0.001347292841428649,83811681.0,-19.223473065343388
Lithuania,Sesame seed,55417.978552348606,-54661.91700190072,-1.0,2835900.0,-19.27498043016352
Thailand,Sesame seed,1515022.0366814286,-1482148.9084490072,-1.0,71389374.0,-20.761477869927916
New Zealand,Sesame seed,121416.71025006256,-120588.85350213142,-1.0,5026496.0,-23.99063950356897
Bulgaria,Sesame seed,177281.9882007531,-175620.35447358523,-1.0,7020235.0,-25.016307071427843
Kenya,"Beverages, Fermented",1771623.0345086143,-1532255.746674861,-1.0,51460211.0,-29.775543413043156
"China, mainland",Poultry Birds,13669617272.524063,-42969889.08602142,-0.0031533720567429313,1423998019.0,-30.175525887456605
Thailand,Poultry Birds,1248091681.9850316,-2438559.53349638,-0.0019576553773630323,71389374.0,-34.15857846710324
United Kingdom,Sesame seed,2633785.737782422,-2628733.2070471505,-1.0,66951174.0,-39.26343706903707
Republic of Korea,Sesame seed,2862610.144688955,-2788006.1550054527,-1.0,51858128.0,-53.76218275764703
Kenya,Beer,3093727.3624424487,-2886876.1290111127,-1.0,51460211.0,-56.09918950800868
Kenya,Rabbits and hares,5130045.684265431,-3012186.55582861,-1.0,51460211.0,-58.53428303721122
Botswana,Sesame seed,329019.61707096256,-329019.61707096256,-1.0,2523541.0,-130.38013532213765
Chile,Sesame seed,2972035.5130429585,-2971208.65280754,-1.0,19206688.0,-154.69656469702323
Republic of Korea,Poultry Birds,1030712773.4789532,-8833206.969653845,-0.008644078283928991,51858128.0,-170.33408860523937
Kenya,Sorghum and products,12107961.668506049,-11825582.245414266,-1.0,51460211.0,-229.8005005345638
Israel,Sesame seed,2956563.149654203,-2896130.287482618,-1.0,8685594.0,-333.4406705497192
Kenya,Poultry Birds,95859682.33408187,-46977686.15419685,-0.961042711539841,51460211.0,-912.8933838649992
Ethiopia,Sesame seed,142472441.91815844,-142212441.91815844,-1.0,115638360.0,-1229.8033448257002
Israel,Poultry Birds,536880157.8406751,-14874419.179871798,-0.028494742640247317,8685594.0,-1712.5390825166128
French Polynesia,Sesame seed,525231.7501187411,-525231.7501187411,-1.0,300742.0,-1746.4529401238972
