area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Afghanistan,Abaca,0.0,0.0,0.0,0.0
Afghanistan,"Alcohol, Non-Food",2024.7887779345556,0.6970271802683783,0.0003441283955227803,1.8186784147190063e-05
Afghanistan,Apples and products,273405.0822175117,-0.05419892445206642,-1.9823675101449112e-07,-1.4141545235582708e-06
Afghanistan,Asses,0.0,0.0,0.0,0.0
Afghanistan,Bananas,97000.99140992852,0.0,0.0,0.0
Afghanistan,Barley and products,132317.72377003994,-2.392713213339448e-06,-1.8083090580489625e-11,-6.243050481959551e-11
Afghanistan,Beans,0.0,0.0,0.0,0.0
Afghanistan,Beer,0.0,0.0,0.0,0.0
Afghanistan,"Beverages, Alcoholic",0.0,0.0,0.0,0.0
Afghanistan,"Beverages, Fermented",0.0,0.0,0.0,0.0
Afghanistan,Bovine Meat,124962.94121610685,2.236537294826121,1.7897284147694315e-05,5.8355573741732244e-05
Afghanistan,Buffaloes,0.0,0.0,0.0,0.0
Afghanistan,"Butter, Ghee",35930.94059357448,-0.051832755394570995,-1.4425681407193025e-06,-1.3524166069854043e-06
Afghanistan,"Camelids, other",0.0,0.0,0.0,0.0
Afghanistan,Camels,20431.927044260672,-0.0278917734103743,-1.3651091952393557e-06,-7.277501894567443e-07
Afghanistan,Cassava and products,2896.508852852477,0.0,0.0,0.0
Afghanistan,Cattle,655439.7574101625,-0.8033318894449621,-1.2256395267584708e-06,-2.096047913980132e-05
Afghanistan,"Cereals, Other",0.0,0.0,0.0,0.0
Afghanistan,"Citrus, Other",54795.95489789282,0.0,0.0,0.0
Afghanistan,Cloves,0.0,0.0,0.0,0.0
Afghanistan,Cocoa Beans and products,0.0,0.0,0.0,0.0
Afghanistan,Coconut Oil,0.0,0.0,0.0,0.0
Afghanistan,Coconuts - Incl Copra,2001.05829320245,0.0,0.0,0.0
Afghanistan,Coffee and products,0.0,0.0,0.0,0.0
Afghanistan,Copra Cake,0.0,0.0,0.0,0.0
Afghanistan,Cotton lint,24439.999999999964,0.0,0.0,0.0
Afghanistan,Cottonseed,47999.99999999992,0.0,0.0,0.0
Afghanistan,Cottonseed Cake,21011.14292519704,-0.008136191321682418,-3.872323606213257e-07,-2.122889315316304e-07
Afghanistan,Cottonseed Oil,18480.987590163437,-30.66539800922692,-0.0016620521685126732,-0.0008001194073475688
Afghanistan,Dates,525.8981056859675,475.1018943140325,0.47462726704698555,0.012396325199949177
Afghanistan,Eggs,43566.96606138179,455.50877721595316,0.010347186951347287,0.01188510296712866
Afghanistan,"Fats, Animals, Raw",10998.654734026411,-0.0011546267032827018,-1.0497891356209266e-07,-3.0126438706592306e-08
Afghanistan,"Fish, Seafood",12148.990438968454,0.0,0.0,0.0
Afghanistan,Fodder crops,0.0,0.0,0.0,0.0
Afghanistan,"Fruits, Other",416136.7930840083,2.2002655894029886,5.2873333779013265e-06,5.7409174955781056e-05
Afghanistan,Goats,3608258.635183203,-0.5894162566401064,-1.633520245736264e-07,-1.5379007499006e-05
Afghanistan,Grapefruit and products,994.9998944006976,4.896904987034418,0.004897410402786462,0.00012776970039274924
Afghanistan,Grapes and products (excl wine),993582.2084242104,10.681763443979435,1.0750644000689924e-05,0.0002787078202491334
Afghanistan,Grazing,38066589.0,0.0,0.0,0.0
Afghanistan,Groundnut Cake,0.0,0.0,0.0,0.0
Afghanistan,Groundnut Oil,0.0,0.0,0.0,0.0
Afghanistan,Groundnuts,15050.244557118329,0.0,0.0,0.0
Afghanistan,"Hard Fibres, Other",0.0,0.0,0.0,0.0
Afghanistan,Hides and skins,43547.02763752471,0.0013280953644425608,3.049795582743542e-08,3.465257080893255e-08
Afghanistan,Honey,2000.0,0.0,0.0,0.0
Afghanistan,Hops,0.0,0.0,0.0,0.0
Afghanistan,Horses,0.0,0.0,0.0,0.0
Afghanistan,Jute,0.0,0.0,0.0,0.0
Afghanistan,Jute-Like Fibres,0.0,0.0,0.0,0.0
Afghanistan,"Lemons, Limes and products",1969.928856414118,26.663666151480356,0.013354585800620877,0.0006957065012629762
Afghanistan,Maize Germ Oil,1891.8292031626925,0.033084972020333225,1.748804457268882e-05,8.632507622126662e-07
Afghanistan,Maize and products,345213.56272826606,-118.37935010989895,-0.0003430339100971569,-0.0030887456743141925
Afghanistan,"Meat, Other",11993.76809467872,0.0027754778711823747,2.3140994609427423e-07,7.241757334206268e-08
Afghanistan,Milk - Excluding Butter,2149251.040316712,18.74628564249724,8.722164969388047e-06,0.0004891267660615394
Afghanistan,Millet and products,6001.9965568132875,-4.525320793736682,-0.0007545381404345797,-0.00011807435176457718
Afghanistan,Mules,0.0,0.0,0.0,0.0
Afghanistan,Mutton & Goat Meat,156995.81036775702,-0.005641588621074334,-3.593464570350591e-08,-1.4719993337880636e-07
Afghanistan,Nuts and products,76099.0764810462,2.3991093277873006,3.152513547444169e-05,6.259739178776085e-05
Afghanistan,Oats,1960.3367613358612,40.40507642954799,0.02019504749032275,0.0010542464114411856
Afghanistan,"Offals, Edible",56058.2515114792,83.16584546085505,0.0014813634812975707,0.0021699573885092514
