area,item,amount [t],absolute_losses [t],relative_losses,population,al/capita [kg]
Afghanistan,Abaca,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,"Alcohol, Non-Food",2024.7390773265004,0.7467277883235965,0.00036866601900542584,38326027.0,1.9483568915807435e-05
Afghanistan,Apples and products,273399.8641147265,5.163903860782739,1.888737708377608e-05,38326027.0,0.00013473621622149196
Afghanistan,Asses,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Bananas,97000.99140992852,0.0,0.0,38326027.0,0.0
Afghanistan,Barley and products,9025.885862739868,123291.83790490736,0.9317862671323646,38326027.0,3.216921960236248
Afghanistan,Beans,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Beer,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,"Beverages, Alcoholic",0.0,0.0,0.0,38326027.0,0.0
Afghanistan,"Beverages, Fermented",0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Bovine Meat,124775.57708846466,189.60066493701015,0.0015172279857925686,38326027.0,0.00494704720990282
Afghanistan,Buffaloes,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,"Butter, Ghee",35786.80019141656,144.08856940252736,0.004010158790161866,38326027.0,0.003759548815287516
Afghanistan,"Camelids, other",0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Camels,20387.463593551125,44.43555893613666,0.0021748129532407345,38326027.0,0.0011594094774325723
Afghanistan,Cassava and products,2896.508852852477,0.0,0.0,38326027.0,0.0
Afghanistan,Cattle,654382.7027672299,1056.251311043161,0.0016115174486822648,38326027.0,0.02755963489362362
Afghanistan,"Cereals, Other",0.0,0.0,0.0,38326027.0,0.0
Afghanistan,"Citrus, Other",54795.95489789282,0.0,0.0,38326027.0,0.0
Afghanistan,Cloves,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Cocoa Beans and products,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Coconut Oil,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Coconuts - Incl Copra,2001.05829320245,0.0,0.0,38326027.0,0.0
Afghanistan,Coffee and products,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Copra Cake,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Cotton lint,24439.999999999964,0.0,0.0,38326027.0,0.0
Afghanistan,Cottonseed,47999.99999999992,0.0,0.0,38326027.0,0.0
Afghanistan,Cottonseed Cake,21011.142111284073,-0.007322278353967704,-3.4849513963486345e-07,38326027.0,-1.9105237164206204e-07
Afghanistan,Cottonseed Oil,18477.56344450528,-27.241252351068397,-0.0014764648588441176,38326027.0,-0.0007107768397457007
Afghanistan,Dates,538.9485835142102,462.0514164857898,0.4615898266591306,38326027.0,0.01205581305064023
Afghanistan,Eggs,42937.065531705695,1085.4093068920483,0.024655799358658248,38326027.0,0.028320423269859105
Afghanistan,"Fats, Animals, Raw",10989.635846292244,9.017733107464664,0.0008198942754551464,38326027.0,0.00023529005778409186
Afghanistan,"Fish, Seafood",12148.990438968454,0.0,0.0,38326027.0,0.0
Afghanistan,Fodder crops,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,"Fruits, Other",416136.7930840083,2.2002655894029886,5.2873333779013265e-06,38326027.0,5.7409174955781056e-05
