area,item,amount [t],absolute_losses [t],relative_losses,population,al/capita [kg]
Guinea-Bissau,Poultry Birds,2786992.7432173803,610104.0092231552,0.17959571177501654,1993303.0,306.0769031216806
Senegal,Poultry Birds,79906630.12944919,4249853.360530123,0.05049941708931027,16215467.0,262.08639939448693
Pakistan,Poultry Birds,1371968014.3116827,28115850.335980892,0.02008154728863787,225112860.0,124.89668664855883
Mauritius,Poultry Birds,47259703.71921233,160983.50181081146,0.00339479478777871,1296960.0,124.12372148008532
Guinea-Bissau,Rice and products,214669.0958908453,178457.0504325464,0.4539434787065647,1993303.0,89.52831076486937
United Arab Emirates,Poultry Birds,41757688.37520784,467160.9747596383,0.011063650479548715,9247550.0,50.51726941294054
Belgium,Poultry Birds,336258641.9341117,577860.9381012917,0.0017155531932372403,11541273.0,50.069081469721034
Gambia,Poultry Birds,1510983.343697424,122364.03424775274,0.07491611147757937,2541049.0,48.15492902645826
Madagascar,Poultry Birds,72316617.73203157,1330968.138831526,0.018072121755155712,27879131.0,47.74066088471431
Malaysia,Poultry Birds,667091217.0955274,1368035.3998476267,0.0020465501745106085,33003638.0,41.45104851312533
Djibouti,Rice and products,311604.0559094241,43898.82659244508,0.12348374303888876,1082344.0,40.55903353503607
Switzerland,Poultry Birds,76882130.84769881,348408.37200409174,0.004511277216554865,8606431.0,40.482329086713385
Indonesia,Poultry Birds,4379482338.199857,10107107.831365585,0.002302517799359083,270825848.0,37.31958343712298
Netherlands,Poultry Birds,670191300.6671885,646536.0500378609,0.0009637739773321607,17402277.0,37.15238241741933
Czech Republic,Poultry Birds,216174246.84813035,351619.9812040031,0.0016239167465434967,10537911.0,33.367142805059096
Togo,Poultry Birds,28673637.038882867,276210.15910761803,0.00954098849705809,8342236.0,33.10984718097379
Sierra Leone,Poultry Birds,24494070.33813787,260305.04175329208,0.010515516459556729,8140209.0,31.97768530922143
Guinea-Bissau,Pigs,276925.13726425695,60742.62539315579,0.17988873120465276,1993303.0,30.473352718154636
Pakistan,Rice and products,2363380.022192593,6580777.333451569,0.7357626964488505,225112860.0,29.233235868673024
RoW,Poultry Birds,27875914.188986667,409215.64125420526,0.014467518576375626,14495672.0,28.23019458871622
Gambia,Rice and products,235041.94589812108,61989.56741770214,0.20869693833391612,2541049.0,24.39526645007717
Senegal,Rice and products,2554423.359596806,378358.8125953069,0.12901019931954305,16215467.0,23.33320480966147
Philippines,Poultry Birds,926541120.2743654,2289690.908351779,0.002465132380176094,111287623.0,20.574533327500212
Singapore,Poultry Birds,53446317.29544766,105534.42720227689,0.001970696134819927,5893519.0,17.906861283093665
Côte d'Ivoire,Poultry Birds,70199054.04094759,461592.68054002523,0.006532528386832048,26477574.0,17.433344933339633
Malaysia,Rice and products,3612669.668112294,555121.4176722104,0.1331931966469283,33003638.0,16.820006863249752
Afghanistan,Rice and products,264693.0424380241,636311.2912794123,0.7062244513897817,38326027.0,16.602589443445634
Namibia,Poultry Birds,12764139.244474905,39369.716455396265,0.0030749161480287945,2467077.0,15.958041218574152
France,Poultry Birds,769926688.6470884,1013638.7458361387,0.0013148083059345561,64457760.0,15.725627850489044
Slovakia,Poultry Birds,59029689.790336125,81815.6667091474,0.001384090391143955,5457552.0,14.991275705508146
Mozambique,Rice and products,1333048.7624053785,459725.3854261106,0.25643240448451754,30720752.0,14.964652734611137
Rwanda,Poultry Birds,4712898.586808775,166677.28069561813,0.034158149237028534,12987331.0,12.833836351411858
Mauritania,Rice and products,366811.3713556512,54862.66517009615,0.13010681336256813,4440933.0,12.353860139321208
Oman,Rice and products,211522.80975853535,55064.92986421409,0.206554622287345,4589136.0,11.998975376675281
Afghanistan,Poultry Birds,33425449.050717853,458205.2611660287,0.013522899771921115,38326027.0,11.955459436638936
Sierra Leone,Rabbits and hares,8007434.829949928,93574.7354256548,0.01155099678262339,8140209.0,11.49537259125101
Latvia,Poultry Birds,21589604.649971657,21870.326400574297,0.0010119774991982355,1907244.0,11.466978740305015
Timor-Leste,Rice and products,189968.50066191165,14058.54197207003,0.06890528721376721,1289754.0,10.900173189670301
Eswatini,Poultry Birds,6600659.3866273165,12699.733281407505,0.0019203150851397899,1174222.0,10.815444848936151
Sierra Leone,Rice and products,1602565.9569249232,87454.38485955121,0.05174753385939079,8140209.0,10.743506077000136
Fiji,"Sweeteners, Other",239374.73400217516,9496.259432177234,0.03815735735664261,918091.0,10.343483850922441
