area,item,amount [t],absolute_losses [t],relative_losses,population,al/capita [kg]
Botswana,Soyabean Cake,57794.05093961262,-25325.67221739759,-0.7800103736029675,2523541.0,-10.035768080406694
New Zealand,Sorghum and products,89490.30176889048,-50681.072966213345,-1.0,5026496.0,-10.082783904774487
Iceland,Soyabeans,3739.3627771294496,-3739.3627771294496,-1.0,364340.0,-10.263387981362051
Namibia,Sunflower seed,26117.831054172748,-26047.831054172748,-1.0,2467077.0,-10.558175141745778
Eswatini,Poultry Birds,6625886.353215375,-12527.233306651004,-0.001894231521306411,1174222.0,-10.668539089414953
Denmark,Sorghum and products,64431.9621982621,-63323.0951651823,-1.0,5810778.0,-10.897524421890202
Estonia,Sunflowerseed Oil,18677.244984840785,-14929.565863497792,-1.0,1329086.0,-11.23295698208979
Lao People's Democratic Republic,Soyabeans,107646.03815743282,-88773.75809343907,-1.0,7265653.0,-12.21827660823316
Ireland,Soyabeans,74693.09463664341,-63721.327212666445,-1.0,4925074.0,-12.93814615022362
Saint Vincent and the Grenadines,Soyabeans,2939.004120918169,-1378.1480496436682,-0.8829437095493089,104712.0,-13.161319138624686
Bahamas,Soyabean Cake,5469.455558432276,-5469.455558432276,-1.0,405779.0,-13.478902452892527
Solomon Islands,Soyabean Cake,9401.277573224785,-9401.277573224785,-1.0,682897.0,-13.766757758819828
Saint Kitts and Nevis,Sunflower seed,678.1470573891133,-678.1470573891133,-1.0,47681.0,-14.222584622577408
Namibia,Soyabean Cake,37897.95123942311,-35684.709537292714,-1.0,2467077.0,-14.464367969582105
Saint Vincent and the Grenadines,Sunflower seed,1658.8037091195197,-1658.8037091195197,-1.0,104712.0,-15.841581758724116
Timor-Leste,Soyabeans,23338.11347122465,-20973.971084346795,-1.0,1289754.0,-16.26199343777712
Fiji,Sorghum and products,15030.849709663538,-15006.849709663538,-1.0,918091.0,-16.345710511990138
Ireland,Sorghum and products,81999.88492394671,-81999.88492394671,-1.0,4925074.0,-16.649472662531917
Namibia,Sorghum and products,45053.52601771828,-42053.52601771828,-1.0,2467077.0,-17.0458911569109
Austria,Sunflower seed,307499.29788689915,-160880.9240168947,-1.0,8901106.0,-18.07426223402965
Latvia,Soyabeans,35829.28143333761,-35212.00904969877,-1.0,1907244.0,-18.462246597550585
Romania,Soyabeans,793408.1010068057,-364432.60716416105,-0.849541785941369,19489730.0,-18.698699631249948
Austria,Sorghum and products,208282.90317647744,-167414.28222849645,-1.0,8901106.0,-18.808256213160078
Gabon,Sunflower seed,42791.85128846216,-42791.85128846216,-1.0,2267995.0,-18.867700893724265
Lesotho,Soyabean Cake,45043.65053957225,-43371.20074271773,-1.0,2239604.0,-19.365566744262704
Saint Kitts and Nevis,Soyabean Oil,949.4773324233072,-949.4773324233072,-1.0,47681.0,-19.913117015652087
North Macedonia,Sorghum and products,44980.892146733306,-44944.892146733306,-1.0,2114024.0,-21.260350945274656
Qatar,Soyabeans,67557.10973741206,-67557.10973741206,-1.0,2828630.0,-23.8833321209957
Dominica,Soyabean Cake,1722.3792596958683,-1722.3792596958683,-1.0,71764.0,-24.000602804970015
Eswatini,Sunflowerseed Oil,29900.22062902521,-28278.224976346435,-1.0,1174222.0,-24.082520150658425
Lesotho,Soyabeans,55923.33319474555,-55923.33319474555,-1.0,2239604.0,-24.97018812019694
Dominica,Soyabeans,1934.228365091484,-1934.228365091484,-1.0,71764.0,-26.952627572201717
Albania,Soyabeans,80004.28926003334,-79563.28926003334,-1.0,2872130.0,-27.701841232824886
Chile,Soyabeans,616784.1854766074,-537048.9807959432,-1.0,19206688.0,-27.961561139325173
United States of America,Sorghum and products,19986331.395900294,-9411332.275168438,-0.8899605728304887,335388238.0,-28.06100873212029
French Polynesia,Soyabean Cake,9245.27347267681,-8504.723190232417,-1.0,300742.0,-28.27913357706079
South Africa,Sunflower seed,2466661.641203578,-1683089.9064604237,-1.0,58466143.0,-28.78742841751035
United Arab Emirates,Soyabeans,275863.8481439151,-271546.79928445007,-1.0,9247550.0,-29.36418827521344
Estonia,Soyabeans,42560.423319305024,-41754.007180073146,-1.0,1329086.0,-31.41557971423455
Liberia,Soyabeans,163088.55787268953,-160088.55787268953,-1.0,5034191.0,-31.800255070316073
Antigua and Barbuda,Soyabean Cake,2976.194423103285,-2976.194423103285,-1.0,92377.0,-32.2179159650485
Namibia,Soyabeans,83180.55716608212,-83180.55716608212,-1.0,2467077.0,-33.71623875788316
"China, Macao SAR",Sorghum and products,22614.96860816179,-22614.96860816179,-1.0,670019.0,-33.75272732289949
"China, Macao SAR",Soyabeans,26617.153827329606,-23916.304142880115,-1.0,670019.0,-35.694964087406646
Slovenia,Soyabeans,81117.46561983338,-76705.86157097487,-1.0,2116252.0,-36.24609052748674
Slovenia,Sorghum and products,77231.6092648406,-77001.6092648406,-1.0,2116252.0,-36.3858412253553
United Arab Emirates,Sorghum and products,352312.06363496685,-343049.1616268954,-1.0,9247550.0,-37.09622133720774
Netherlands,Sorghum and products,687711.9008069288,-674492.5700552957,-1.0,17402277.0,-38.75886874202127
Bahamas,Sunflower seed,16012.579004624406,-16012.579004624406,-1.0,405779.0,-39.46132994714957
Liberia,Sorghum and products,199115.1385915461,-199115.1385915461,-1.0,5034191.0,-39.55255940657518
Bosnia and Herzegovina,Sorghum and products,141081.9270763163,-141081.9270763163,-1.0,3340974.0,-42.22778359733308
Belize,Sorghum and products,32936.70223781282,-17936.702237812817,-1.0,392426.0,-45.70722184007384
North Macedonia,Soyabeans,99520.88575743893,-98513.62567760343,-1.0,2114024.0,-46.60005074568852
Lesotho,Sunflower seed,104916.84519977342,-104916.84519977342,-1.0,2239604.0,-46.846159053017146
Zambia,Soyabean Cake,1143432.1186689478,-975971.924665425,-1.0,18654918.0,-52.317138283075
Saint Kitts and Nevis,Sorghum and products,2722.3920635970526,-2722.3920635970526,-1.0,47681.0,-57.09595150263318
Congo,Sunflower seed,324121.1123506341,-324121.1123506341,-1.0,5635288.0,-57.51633498600854
Malta,Sorghum and products,29918.75919898663,-29918.75919898663,-1.0,509595.0,-58.710857051161476
Eswatini,Soyabeans,72071.2875647989,-72071.2875647989,-1.0,1174222.0,-61.377906021858635
Spain,Sunflower seed,4188610.603579424,-3164457.4744815445,-1.0,47329954.0,-66.85950876862344
Suriname,Soyabeans,40472.027352629135,-40467.027352629135,-1.0,603805.0,-67.02002691701648
Hungary,Sunflower seed,1863883.656670991,-701977.470354138,-0.6041601969427055,9770120.0,-71.84942153772296
Azerbaijan,Soyabeans,758791.8779122483,-749001.213639724,-1.0,10273528.0,-72.90593977450823
Cambodia,Soyabeans,1344997.54545899,-1221974.29120212,-1.0,16296280.0,-74.98486103590022
Malta,Soyabeans,40582.70678088679,-40582.70678088679,-1.0,509595.0,-79.63717615142767
Cyprus,Soyabeans,103338.39385901818,-103338.39385901818,-1.0,1233778.0,-83.75768887029771
Zimbabwe,Soyabean Cake,1404804.3674144507,-1315148.4449884407,-1.0,15505226.0,-84.81968885770776
Guyana,Soyabeans,71877.85371073654,-71877.85371073654,-1.0,791842.0,-90.77297454635716
Austria,Soyabeans,1083085.394878426,-832140.1932702451,-1.0,8901106.0,-93.48728048741864
Azerbaijan,Sorghum and products,998628.70238478,-998181.70238478,-1.0,10273528.0,-97.16055695616735
Belize,Soyabeans,52785.845586546035,-38785.845586546035,-1.0,392426.0,-98.83607504738737
Lesotho,Sorghum and products,248979.35185628984,-228979.35185628984,-1.0,2239604.0,-102.24099968400209
Zimbabwe,Soyabeans,1647929.5622793415,-1585432.778201621,-1.0,15505226.0,-102.25151043923005
Dominica,Sorghum and products,7430.523350720142,-7430.523350720142,-1.0,71764.0,-103.54109791427655
French Polynesia,Soyabeans,33102.29867354703,-33102.29867354703,-1.0,300742.0,-110.06875884827205
Fiji,Soyabeans,106898.0385763327,-106140.77413593071,-1.0,918091.0,-115.6102980379186
Cyprus,Sorghum and products,145172.31206324726,-145172.31206324726,-1.0,1233778.0,-117.66485710010006
Bosnia and Herzegovina,Soyabeans,465648.2025991082,-438924.23910788685,-1.0,3340974.0,-131.37613136405338
