area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Afghanistan,Abaca,0.0,0.0,0.0,0.0
Afghanistan,"Alcohol, Non-Food",2901.5258305808047,-876.0400254659808,-0.432508597815781,-0.022857574709373888
Afghanistan,Apples and products,273355.21610868396,49.811909903306514,0.00018219090652538128,0.0012996888486068883
Afghanistan,Asses,0.0,0.0,0.0,0.0
Afghanistan,Bananas,96917.49934180564,83.49206812288321,0.0008607341730152429,0.0021784691672550147
Afghanistan,Barley and products,141263.09206343314,-8945.368295785913,-0.06760521599883451,-0.23340192020910264
Afghanistan,Beans,0.0,0.0,0.0,0.0
Afghanistan,Beer,201.05214649437733,-201.05214649437733,-1.0,-0.0052458384610118165
Afghanistan,"Beverages, Alcoholic",0.0,0.0,0.0,0.0
Afghanistan,"Beverages, Fermented",0.0,0.0,0.0,0.0
Afghanistan,Bovine Meat,125019.99379094865,-54.81603754697426,-0.00043865049874258766,-0.0014302561950127065
Afghanistan,Buffaloes,0.0,0.0,0.0,0.0
Afghanistan,"Butter, Ghee",35976.68772387422,-45.7989630551383,-0.0012746404176084969,-0.001194983321781261
Afghanistan,"Camelids, other",0.0,0.0,0.0,0.0
Afghanistan,Camels,20446.02824483655,-14.12909234928884,-0.0006915212454721154,-0.0003686552835045709
Afghanistan,Cassava and products,2896.508852852477,0.0,0.0,0.0
Afghanistan,Cattle,655774.8226418315,-335.86856355844066,-0.0005124330213646111,-0.008763458929840045
Afghanistan,"Cereals, Other",114.59090088827244,-114.59090088827244,-1.0,-0.002989897723765431
Afghanistan,"Citrus, Other",54795.95489789282,0.0,0.0,0.0
Afghanistan,Cloves,0.0,0.0,0.0,0.0
Afghanistan,Cocoa Beans and products,0.0,0.0,0.0,0.0
Afghanistan,Coconut Oil,0.0,0.0,0.0,0.0
Afghanistan,Coconuts - Incl Copra,2001.05829320245,0.0,0.0,0.0
Afghanistan,Coffee and products,0.0,0.0,0.0,0.0
Afghanistan,Copra Cake,0.0,0.0,0.0,0.0
Afghanistan,Cotton lint,24439.999999999964,0.0,0.0,0.0
Afghanistan,Cottonseed,47999.99999999992,0.0,0.0,0.0
Afghanistan,Cottonseed Cake,21011.13478900572,0.0,0.0,0.0
Afghanistan,Cottonseed Oil,18450.32219215421,0.0,0.0,0.0
Afghanistan,Dates,1001.0,0.0,0.0,0.0
Afghanistan,Eggs,42889.42564933203,1133.0491892657155,0.025737971193575127,0.029563439728978833
Afghanistan,"Fats, Animals, Raw",11001.35445810552,-2.700878705811192,-0.0002455644853538441,-7.047113716773179e-05
Afghanistan,"Fish, Seafood",12148.990438968454,0.0,0.0,0.0
Afghanistan,Fodder crops,0.0,0.0,0.0,0.0
Afghanistan,"Fruits, Other",416138.99334959773,0.0,0.0,0.0
Afghanistan,Goats,3608493.523932076,-235.47816512966529,-6.526089934344448e-05,-0.006144079717150574
Afghanistan,Grapefruit and products,999.896799387732,0.0,0.0,0.0
Afghanistan,Grapes and products (excl wine),993579.044755893,13.845431761466898,1.3934712997820675e-05,0.00036125403140447866
Afghanistan,Grazing,38066589.0,0.0,0.0,0.0
