area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Jordan,Poultry Birds,182599490.2805864,75327618.26575333,0.29205002409515946,6963.76833277172
Russian Federation,Poultry Birds,1313019026.4732063,999406423.6959522,0.4321896836167599,6856.442243636807
Israel,Poultry Birds,482929788.1781973,39075950.482605994,0.0748573197353245,4498.938182305781
Belarus,Poultry Birds,370975007.9941405,38504398.21997821,0.09403256338572519,3985.5318141577877
Azerbaijan,Poultry Birds,58430884.676530264,36728964.976693936,0.3859712379805077,3575.107302641696
Saudi Arabia,Poultry Birds,518190555.6393234,122840191.64200372,0.1916291724897452,3390.568219097815
Kuwait,Poultry Birds,34488782.184512734,11725479.057350077,0.2537199284866778,2624.1118516051133
Turkey,Poultry Birds,1020346732.9869616,175496919.3523302,0.14675573935524577,2093.9434367427875
Tunisia,Poultry Birds,97996419.8246324,19235476.98505412,0.16408057455797087,1588.8880038134116
Armenia,Poultry Birds,6940619.481221608,4246246.955167501,0.37957429627970984,1509.7788424116875
Libya,Poultry Birds,93529167.22827823,9251230.946763664,0.09000968191432956,1399.1518104224097
Iran (Islamic Republic of),Poultry Birds,1668998177.1172569,83910197.78483534,0.04786912937735388,964.5941087549112
Morocco,Poultry Birds,513760498.6348635,28327541.237065196,0.05225634796103917,776.3343232632834
Portugal,Poultry Birds,213626701.23211735,7611577.053971231,0.034404430883016146,739.1029473582478
Ireland,Poultry Birds,95061740.89023107,3602090.7079287916,0.03650872512836789,731.3779869964982
Netherlands,Poultry Birds,660582848.3308848,10254988.386341572,0.015286836587102504,589.2900329273906
Lithuania,Poultry Birds,51769933.27284365,1665379.8957294747,0.031166279319364665,587.2491610174811
Iraq,Poultry Birds,90051707.03633873,23957290.92546171,0.2101350889294613,569.8289571886071
Cyprus,Poultry Birds,11744501.29929757,626295.0546989515,0.05062689876845483,507.62378215444875
