area,item,amount [t],absolute_losses [t],relative_losses,population,al/capita [kg]
Jordan,Poultry Birds,186913471.00326604,71013637.54307368,0.27532444318591365,10817077.0,6564.956276365018
Azerbaijan,Poultry Birds,58933273.31253278,36226576.34069142,0.38069181984530376,10273528.0,3526.2060258843326
Belarus,Poultry Birds,377373640.8407326,32105765.373386145,0.07840630050293151,9661044.0,3323.2190406529717
Israel,Poultry Birds,495701538.1508802,26304200.5099231,0.05039063474169092,8685594.0,3028.486078202953
Saudi Arabia,Poultry Birds,541391700.5475732,99639046.73375392,0.1554356747415513,36229972.0,2750.1828246997798
Kuwait,Poultry Birds,36630577.6570903,9583683.584772512,0.20737502509487726,4468361.0,2144.7872239446438
Turkey,Poultry Birds,1018540563.428222,177303088.91106987,0.14826611201575735,83811681.0,2115.4937688347986
Armenia,Poultry Birds,7083621.171152714,4103245.2652363954,0.36679129840052316,2812496.0,1458.9337247897936
Libya,Poultry Birds,94232469.915036,8547928.260005906,0.08316691131560139,6612028.0,1292.7846433811087
Iran (Islamic Republic of),Poultry Birds,1674883992.024841,78024382.87725115,0.0445113869009891,86990162.0,896.9334127375363
Portugal,Poultry Birds,213967249.6687402,7271028.617348373,0.03286514735911128,10298399.0,706.0348523443666
Morocco,Poultry Birds,517477103.15352345,24610936.718405247,0.04540025772237977,36488843.0,674.478407506789
Georgia,Poultry Birds,12387579.88594562,2474210.8737180084,0.1664813422372532,3769183.0,656.4316122931702
Ireland,Poultry Birds,95477274.4865728,3186557.1115870625,0.03229711496068122,4925074.0,647.0069508777051
Tunisia,Poultry Birds,109401623.26696654,7830273.54271999,0.06679302950656507,12106251.0,646.7959026060165
Lithuania,Poultry Birds,51818087.530320056,1617225.6382530704,0.030265110137020934,2835900.0,570.2689228298143
Iraq,Poultry Birds,90404613.89064711,23604384.071153328,0.20703965908955846,42042951.0,561.4349970617744
Netherlands,Poultry Birds,662327940.4179659,8509896.299260497,0.0126854745416628,17402277.0,489.0105070308039
Cyprus,Poultry Birds,11773726.944004107,597069.4099924136,0.04826442800503494,1233778.0,483.9358539319178
Mauritius,Poultry Birds,46802672.42718313,618014.7938400134,0.01303259885204755,1296960.0,476.51029626203854
Lebanon,Poultry Birds,50552797.18933312,2440557.746303253,0.04605403355321547,5694522.0,428.57991352096855
Republic of Korea,Poultry Birds,1001026681.110886,20852885.39841342,0.020406402165028203,51858128.0,402.11411793370985
Belgium,Poultry Birds,332826414.2937565,4010088.578456521,0.011905148474890326,11541273.0,347.4563489189209
Slovenia,Poultry Birds,39201456.055610545,697989.6531419232,0.01749371803901556,2116252.0,329.82350549080314
