area,item,amount [t],absolute_losses [t],relative_losses,population,al/capita [kg]
Botswana,Soyabean Cake,57783.0615750646,-25314.68285284957,-0.7796719099968221,2523541.0,-10.031413340559782
New Zealand,Sorghum and products,89526.47540985658,-50717.24660717944,-1.0,5026496.0,-10.089980496787312
Iceland,Soyabeans,3740.8648984052456,-3740.8648984052456,-1.0,364340.0,-10.26751083714455
Namibia,Sunflower seed,26102.161065517754,-26032.161065517754,-1.0,2467077.0,-10.551823500246549
Denmark,Sorghum and products,64456.71002472648,-63347.84299164668,-1.0,5810778.0,-10.90178337421369
Estonia,Sunflowerseed Oil,18684.173006900422,-14936.49388555743,-1.0,1329086.0,-11.23816960343983
Lao People's Democratic Republic,Soyabeans,107679.43270829064,-88807.15264429689,-1.0,7265653.0,-12.222872829778257
Eswatini,Poultry Birds,6628156.912634041,-14797.79272531718,-0.0022375607398621433,1174222.0,-12.60221042129783
Ireland,Soyabeans,74716.45465101703,-63744.68722704007,-1.0,4925074.0,-12.942889229083677
Saint Vincent and the Grenadines,Soyabeans,2940.191054899685,-1379.334983625184,-0.8837041473650431,104712.0,-13.17265436268225
Bahamas,Soyabean Cake,5471.030224186709,-5471.030224186709,-1.0,405779.0,-13.482783052318403
Solomon Islands,Soyabean Cake,9404.815794594097,-9404.815794594097,-1.0,682897.0,-13.771938952132015
Saint Kitts and Nevis,Sunflower seed,678.0755905069186,-678.0755905069186,-1.0,47681.0,-14.221085768061043
Namibia,Soyabean Cake,37915.041856694304,-35701.800154563905,-1.0,2467077.0,-14.47129544581053
Saint Vincent and the Grenadines,Sunflower seed,1658.436082871076,-1658.436082871076,-1.0,104712.0,-15.838070926647147
Timor-Leste,Soyabeans,23359.908649166304,-20995.76626228845,-1.0,1289754.0,-16.278892147098166
Fiji,Sorghum and products,15037.376703526388,-15013.376703526388,-1.0,918091.0,-16.352819822355723
Ireland,Sorghum and products,82033.18117488465,-82033.18117488465,-1.0,4925074.0,-16.65623322104087
Namibia,Sorghum and products,45071.9223181104,-42071.9223181104,-1.0,2467077.0,-17.053347876094016
