area,item,amount [t],absolute_losses [t],relative_losses,population,al/capita [kg]
Oman,Maize and products,461136.8403975432,-47199.27350975218,-0.11402510254051634,4589136.0,-10.285002124528926
Russian Federation,Maize and products,11457032.399294283,-1500489.1773776598,-0.15070382801881888,145761663.0,-10.294127732184695
Mozambique,Poultry Birds,42726073.39056704,-327855.8975800574,-0.0077327755025147216,30720752.0,-10.672131254471159
Austria,Wheat and products,2622736.074359203,-96934.41420587804,-0.03837768251367524,8901106.0,-10.890153898389487
Bangladesh,Poultry Birds,358811896.4422295,-1870365.742374301,-0.005239977927777417,166426993.0,-11.238355681727068
Namibia,Maize and products,216769.8494752905,-28332.64194968663,-0.15035587887194168,2467077.0,-11.484295767698628
Dominican Republic,Maize and products,1417492.5561837165,-126548.02157842275,-0.09802746608096125,10939347.0,-11.568151332837578
Republic of Moldova,Wheat and products,371329.0322256127,-35880.29714439734,-0.10696208806901697,3095024.0,-11.592897872325816
Viet Nam,Beer,4964919.053420209,-1137163.8810272487,-0.2970837553114294,96203595.0,-11.820388635448069
Rwanda,Poultry Birds,5035545.076159021,-155969.20865462814,-0.03196368145299422,12987331.0,-12.009334993820373
Egypt,Maize and products,15430476.965067023,-1415928.6470719427,-0.10103277072824746,106538719.0,-13.290272873207185
Albania,Maize and products,520449.879895494,-42146.37322771875,-0.08811637932856131,2872130.0,-14.674256815575463
Nicaragua,Maize and products,858117.8812335683,-98471.0600883225,-0.1296274233595387,6709705.0,-14.675914975147565
Croatia,Poultry Birds,46957820.476628125,-63153.348855271935,-0.0013467064108418914,4114639.0,-15.348454349281173
Croatia,Wheat and products,995147.23455041,-63571.9555266432,-0.06824135092256056,4114639.0,-15.450190290483127
Israel,Maize and products,2102096.933530446,-148726.05056401296,-0.07613815269845436,8685594.0,-17.12330216724532
Democratic People's Republic of Korea,Poultry Birds,32028186.950335898,-478304.5729738809,-0.015160264854650496,25813233.0,-18.52943306147978
Djibouti,Wheat and products,177894.39479014155,-20235.655846291542,-0.12835099393696447,1082344.0,-18.696140826106618
Cabo Verde,Poultry Birds,579817.496548023,-12233.15197823965,-0.02155301162774692,579933.0,-21.09407807150076
Viet Nam,Pigs,44259119.61922918,-2058182.6569348723,-0.04877101801729711,96203595.0,-21.39403061740959
Australia,Poultry Birds,526633396.2475347,-571949.2985460162,-0.0010872290715526756,25544179.0,-22.39059233596884
Zambia,"Sweeteners, Other",610151.580013247,-433930.1827307348,-1.0,18654918.0,-23.260900033478293
Sweden,Wheat and products,3626373.43825676,-253356.23721763678,-0.07511264310765609,10321414.0,-24.54665971325603
Cameroon,Poultry Birds,104270645.30263431,-695282.3255221546,-0.006712815726996668,26137129.0,-26.601327388411885
Zambia,Maize and products,3901170.034494683,-510183.1646842519,-0.15045271016126738,18654918.0,-27.34845388675801
Madagascar,Poultry Birds,74416434.59461953,-768848.7237564325,-0.010439564510703159,27879131.0,-27.577930020718096
Viet Nam,Wheat and products,5494381.236484769,-2983558.636517817,-1.0,96203595.0,-31.012964084323638
Russian Federation,Rabbits and hares,11863423.223578386,-4662201.846471528,-0.6474182089850709,145761663.0,-31.98510328790313
Latvia,Wheat and products,2893173.9843130833,-64072.79850642895,-0.022647757820708714,1907244.0,-33.594442298116526
Togo,Poultry Birds,29262561.885103267,-312714.68711278215,-0.010801946033569765,8342236.0,-37.48571571372257
Malta,Pigs,63777.161569192984,-19882.272570113877,-0.452951881722061,509595.0,-39.01583133687316
Norway,Wheat and products,915149.6799782708,-219627.48937810096,-0.31577351858261093,5367955.0,-40.91455486830664
Estonia,Poultry Birds,12197348.14458464,-71487.35340547934,-0.005895445662503551,1329086.0,-53.78685307457857
Norway,Poultry Birds,56839696.50968948,-294164.399535425,-0.005202257164409918,5367955.0,-54.800086724912
Democratic People's Republic of Korea,Rabbits and hares,105262302.25841364,-1910915.86110349,-0.018489503892646697,25813233.0,-74.02853649147667
Eswatini,Maize and products,363087.0779312354,-90913.06619753485,-0.33402552146119535,1174222.0,-77.42408692524484
Zambia,Wheat and products,1697132.1277291342,-1474933.1289731874,-1.0,18654918.0,-79.06403710663255
