area,item,amount [t],absolute_losses [t],relative_losses,population,al/capita [kg]
Afghanistan,Abaca,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,"Alcohol, Non-Food",2025.542054442464,-0.05624932763998913,-2.777078343285666e-05,38326027.0,-1.4676534992784182e-06
Afghanistan,Apples and products,273395.8754241191,9.15259446814889,3.347632095307418e-05,38326027.0,0.0002388088509186953
Afghanistan,Asses,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Bananas,97000.99140992852,0.0,0.0,38326027.0,0.0
Afghanistan,Barley and products,4641.533488769112,127676.19027887812,0.9649213018739671,38326027.0,3.3313181739103332
Afghanistan,Beans,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Beer,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,"Beverages, Alcoholic",0.0,0.0,0.0,38326027.0,0.0
Afghanistan,"Beverages, Fermented",0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Bovine Meat,128947.09727268826,-3981.919519286588,-0.03186423282767814,38326027.0,-0.10389596394342122
Afghanistan,Buffaloes,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,"Butter, Ghee",50277.54199990973,-14346.653239090643,-0.3992846749378207,38326027.0,-0.3743318669344632
Afghanistan,"Camelids, other",0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Camels,24856.44363250748,-4424.544480020217,-0.2165508182572249,38326027.0,-0.11544490327735292
Afghanistan,Cassava and products,2896.508852852477,0.0,0.0,38326027.0,0.0
Afghanistan,Cattle,760538.1670047491,-105099.21292647603,-0.16034935408176088,38326027.0,-2.7422412692679057
Afghanistan,"Cereals, Other",0.0,0.0,0.0,38326027.0,0.0
Afghanistan,"Citrus, Other",54795.95489789282,0.0,0.0,38326027.0,0.0
Afghanistan,Cloves,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Cocoa Beans and products,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Coconut Oil,0.0,0.0,0.0,38326027.0,0.0
Afghanistan,Coconuts - Incl Copra,2001.05829320245,0.0,0.0,38326027.0,0.0
Afghanistan,Coffee and products,0.0,0.0,0.0,38326027.0,0.0
