area,item,amount [t],absolute_losses [t],relative_losses,al/capita [kg]
Guatemala,Soyabeans,8754696.087129194,-8711946.505291145,-1.0,-505.59222003536064
Algeria,Poultry Birds,266700419.10516587,-22487370.50642559,-0.09208095404997785,-521.8578656930181
Colombia,Soyabeans,27689796.58908253,-27406918.230268527,-1.0,-541.4564883238212
Cuba,Soyabean Cake,6621228.850076874,-6164045.504092094,-1.0,-545.045262482107
Belarus,Poultry Birds,414873149.7525238,-5393743.538405061,-0.013172197323116697,-558.298206529756
Cabo Verde,Poultry Birds,899841.2260277115,-332256.8814579282,-0.5853876778609384,-572.9228746388432
Slovenia,Soyabeans,1270378.7879099909,-1265967.1838611322,-1.0,-598.211925546264
Netherlands,Poultry Birds,682326662.729192,-11488826.011965632,-0.017126085296838234,-660.1909630541816
Spain,Poultry Birds,750720418.9352503,-35513636.80847967,-0.049655061579358506,-750.341671755685
Switzerland,Poultry Birds,83717231.05889079,-6486691.83918789,-0.08399127993570987,-753.7028809256578
Switzerland,Soyabeans,6505071.400204302,-6492892.92841674,-1.0,-754.4233990160079
Viet Nam,Soyabeans,75764780.41168858,-74553724.41319694,-1.0,-774.9577800413481
Gabon,Soyabean Cake,1905649.0282911332,-1899221.2122506201,-1.0,-837.4009696893601
Chile,Poultry Birds,298287941.3597687,-16303699.558316171,-0.05781776830563379,-848.8553340542717
United Kingdom,Soyabeans,58493277.40582663,-57907395.18760314,-1.0,-864.9197874798004
Ireland,Poultry Birds,103106519.7000778,-4442688.101917937,-0.045028538117313444,-902.0550964143762
Dominican Republic,Soyabeans,10014101.491600469,-9999671.674208062,-1.0,-914.1013329413594
Viet Nam,Poultry Birds,816397649.6940995,-90314684.52686143,-0.1243861774199031,-938.787001949994
Guinea,Soyabeans,12760082.80125227,-12760082.80125227,-1.0,-978.414956681823
Colombia,Poultry Birds,1069352793.142156,-51511007.360084176,-0.05060806903354331,-1017.6616327628752
Denmark,Soyabean Cake,7434396.190463419,-5990753.556851349,-1.0,-1030.9727125784789
Barbados,Soyabean Cake,308123.3697099154,-297974.41160165094,-1.0,-1062.5739019482824
New Zealand,Poultry Birds,114743217.6007574,-5497585.100729838,-0.05032315686147415,-1093.7211729065016
Spain,Soyabeans,55803599.07485299,-53303492.24485734,-1.0,-1126.2105229355882
Nicaragua,Soyabeans,7734085.482744737,-7724085.482744737,-1.0,-1151.1810851214377
Saudi Arabia,Soyabeans,46774813.64613373,-46311308.026516475,-1.0,-1278.2595588679028
Uruguay,Cattle,6513815.26520194,-4389515.177704392,-1.0,-1280.3874541144478
Afghanistan,Soyabeans,50812279.76104811,-50804521.762138985,-1.0,-1325.588007390878
United Kingdom,Poultry Birds,1009681844.8537146,-89622931.17546678,-0.09740999173321274,-1338.6312116866955
Slovenia,Poultry Birds,42772317.03932393,-2872871.330571465,-0.0720027879971592,-1357.5279931555717
Haiti,Soyabeans,15569851.793082548,-15569851.793082548,-1.0,-1385.8952962677624
Guatemala,Poultry Birds,253152941.4168719,-25329809.90827182,-0.11118190563242103,-1469.9992495154606
Uruguay,Eggs,5164799.610659835,-5113909.100988999,-1.0,-1491.6875302416288
"China, Hong Kong SAR",Poultry Birds,32476536.214483537,-11523276.945681036,-0.5499515277242881,-1536.0463607028234
Azerbaijan,Poultry Birds,111910549.1304452,-16750699.477220997,-0.17602696450512356,-1630.4719739140241
Egypt,Soyabeans,184100515.4727919,-182067700.20703286,-1.0,-1708.9345724818868
Ireland,Soyabeans,8438108.404548138,-8427136.637124162,-1.0,-1711.0680239777437
Kuwait,Soyabeans,7805193.606227689,-7804632.148730324,-1.0,-1746.64315365977
Nicaragua,Poultry Birds,72977990.13854174,-11942926.600279018,-0.1956732066444402,-1779.94809015881
Saudi Arabia,Poultry Birds,705581935.7943269,-64551188.51299977,-0.10069905193591344,-1781.706828616919
Uruguay,Poultry Meat,6241141.942853698,-6171963.018123397,-1.0,-1800.313632768062
Ghana,Soyabeans,61952996.030906886,-61774424.64816709,-1.0,-1939.5882919227379
Sweden,Soyabean Cake,22577585.122809097,-22355838.908358265,-1.0,-2165.96668909495
"China, mainland",Soyabeans,3222150700.4215016,-3131118625.3834815,-1.0,-2198.8223182938864
Cuba,Soyabeans,27421123.24904399,-27370515.95858331,-1.0,-2420.191422177706
Afghanistan,Poultry Birds,127054515.045018,-93170860.73313412,-1.0,-2431.0075430759916
Gabon,Poultry Birds,10572579.963911042,-5547767.432175574,-1.0,-2446.1109624031687
Latvia,Soyabeans,4708536.809079466,-4707919.536695828,-1.0,-2468.4411311273375
Turkey,Poultry Birds,1406175318.4557965,-210331666.11650467,-0.1758855898135654,-2509.5746035269794
Egypt,Poultry Birds,1535794328.9122157,-282479033.7228427,-0.22538545153568945,-2651.4213459131483
Oman,Soyabeans,12747285.420515388,-12747285.420515388,-1.0,-2777.7092290390583
Honduras,Poultry Birds,124791981.68638404,-30863189.424562752,-0.32858071184960336,-3073.4748908872575
Dominican Republic,Poultry Birds,203489647.4708801,-34823880.997620046,-0.20646679955141312,-3183.360121734876
South Africa,Poultry Birds,1181313288.2299142,-198796359.19268858,-0.20233377493809734,-3400.1962331034665
Kiribati,Poultry Birds,1489331.8977657424,-444114.0372243874,-0.4249009263909489,-3545.6508049465688
Mongolia,Soyabeans,11961144.381164797,-11960481.940826124,-1.0,-3661.6003122723646
Lithuania,Soyabeans,11529088.167568456,-11525359.760569038,-1.0,-4064.0924435167103
Ghana,Poultry Birds,239257719.3772298,-135100703.12465727,-1.0,-4241.880737919424
"China, mainland",Poultry Birds,19776898451.544304,-6150251068.106262,-0.45134000279344844,-4319.002544979146
Peru,Poultry Birds,837680815.4716898,-146148650.2475772,-0.2113403505970155,-4416.663921577976
Gambia,Soyabeans,11372111.282005858,-11372111.282005858,-1.0,-4475.360877340759
Honduras,Soyabeans,47185456.04251602,-47184456.04251602,-1.0,-4698.809280269356
Gabon,Soyabeans,11499839.940917928,-11494664.787551751,-1.0,-5068.205524064979
Sweden,Poultry Birds,163621533.84663227,-52735527.70412403,-0.47558325471971186,-5109.331696618703
Uruguay,Milk - Excluding Butter,22073128.00592162,-19862550.822671738,-1.0,-5793.751667435782
Lithuania,Poultry Birds,70948593.14933401,-17513279.980760887,-0.32774730683268394,-6175.563306449764
Barbados,Soyabeans,1782970.3718928313,-1771445.9631467492,-1.0,-6316.959362496297
Jordan,Poultry Birds,357153521.90221876,-99226413.35587904,-0.38470719078391014,-9173.126285028668
Denmark,Pigs,93247149.18855353,-61835983.07720809,-1.0,-10641.601361677916
Uruguay,Soyabean Oil,42951519.135622606,-42934553.63563659,-1.0,-12523.675530795725
Latvia,Poultry Birds,48639009.60123808,-27027534.62486585,-1.0,-14170.989461687046
Uruguay,Pigs,49496060.1566503,-49370785.9059517,-1.0,-14401.074450051265
Sweden,Soyabeans,153752456.77599522,-153733907.06103942,-1.0,-14894.655621898262
Malta,Soyabeans,8265829.831081873,-8265829.831081873,-1.0,-16220.390370945306
Togo,Soyabeans,165725330.55171046,-165723330.55171046,-1.0,-19865.57687312016
Denmark,Soyabeans,136871103.38392484,-136853143.63434097,-1.0,-23551.604214502942
Niger,Soyabeans,792427674.7496899,-792427674.7496899,-1.0,-33181.39020939012
Barbados,Poultry Birds,17784178.435458962,-10155443.296652105,-1.0,-36214.213669340344
Uruguay,Rabbits and hares,161080230.39139855,-160854385.6723432,-1.0,-46919.97385047541
New Caledonia,Soyabeans,14038943.344674196,-14038943.344674196,-1.0,-49152.694129851996
Uruguay,Soyabean Cake,174657235.12620384,-174595306.3287646,-1.0,-50928.09358675688
