area,item,amount [t],absolute_losses [t],relative_losses,population,al/capita [kg]
Botswana,Soyabean Cake,57781.59073147104,-25313.21200925601,-0.7796266091948898,2523541.0,-10.030830491462595
New Zealand,Sorghum and products,89488.24507539281,-50679.01627271568,-1.0,5026496.0,-10.082374734350864
Iceland,Soyabeans,3739.3334619566936,-3739.3334619566936,-1.0,364340.0,-10.26330752032907
Eswatini,Poultry Birds,6625732.508693041,-12373.3887843173,-0.0018709688314171302,1174222.0,-10.537520830232529
Namibia,Sunflower seed,26119.002877639345,-26049.002877639345,-1.0,2467077.0,-10.558650126298994
Denmark,Sorghum and products,64430.37646754927,-63321.509434469466,-1.0,5810778.0,-10.897251527156858
Estonia,Sunflowerseed Oil,18676.86915653781,-14929.190035194817,-1.0,1329086.0,-11.232674210092362
Lao People's Democratic Republic,Soyabeans,107627.07166615242,-88754.79160215867,-1.0,7265653.0,-12.215666176482507
Ireland,Soyabeans,74679.27415531903,-63707.506731342066,-1.0,4925074.0,-12.93534000328565
Saint Vincent and the Grenadines,Soyabeans,2938.810427704561,-1377.95435643006,-0.8828196153312877,104712.0,-13.15946936769482
Bahamas,Soyabean Cake,5469.243481417781,-5469.243481417781,-1.0,405779.0,-13.478379811221826
Solomon Islands,Soyabean Cake,9400.76784434061,-9400.76784434061,-1.0,682897.0,-13.766011337493955
Saint Kitts and Nevis,Sunflower seed,678.1769165541272,-678.1769165541272,-1.0,47681.0,-14.223210850320402
Namibia,Soyabean Cake,37935.68587300236,-35722.44417087196,-1.0,2467077.0,-14.479663249615621
Saint Vincent and the Grenadines,Sunflower seed,1658.8480464397385,-1658.8480464397385,-1.0,104712.0,-15.842005180301575
Timor-Leste,Soyabeans,23335.588238262357,-20971.445851384502,-1.0,1289754.0,-16.260035519474645
Fiji,Sorghum and products,15030.510789279751,-15006.510789279751,-1.0,918091.0,-16.345341354266353
Ireland,Sorghum and products,81998.02632155843,-81998.02632155843,-1.0,4925074.0,-16.649095287006535
Namibia,Sorghum and products,45052.54268732388,-42052.54268732388,-1.0,2467077.0,-17.045492575758228
Austria,Sunflower seed,307502.38716884935,-160884.01329884492,-1.0,8901106.0,-18.07460930123121
Latvia,Soyabeans,35821.48198689048,-35204.20960325164,-1.0,1907244.0,-18.45815721703759
Romania,Soyabeans,793238.7156368962,-364263.2217942516,-0.8491469256933111,19489730.0,-18.690008624760402
Austria,Sorghum and products,208278.37448257528,-167409.75353459432,-1.0,8901106.0,-18.80774743437437
Gabon,Sunflower seed,42793.59247598518,-42793.59247598518,-1.0,2267995.0,-18.86846861478318
Lesotho,Soyabean Cake,45038.7889618814,-43366.33916502688,-1.0,2239604.0,-19.36339601332507
Saint Kitts and Nevis,Soyabean Oil,949.3008661897898,-949.3008661897898,-1.0,47681.0,-19.90941603971791
North Macedonia,Sorghum and products,44979.863854644995,-44943.863854644995,-1.0,2114024.0,-21.259864530698323
Qatar,Soyabeans,67542.10756249567,-67542.10756249567,-1.0,2828630.0,-23.878028431606708
Dominica,Soyabean Cake,1722.3333241787248,-1722.3333241787248,-1.0,71764.0,-23.999962713599086
Eswatini,Sunflowerseed Oil,29900.70840028715,-28278.712747608373,-1.0,1174222.0,-24.082935550184185
Lesotho,Soyabeans,55917.67507836836,-55917.67507836836,-1.0,2239604.0,-24.96766172875578
Dominica,Soyabeans,1936.8745684836435,-1936.8745684836435,-1.0,71764.0,-26.989501260850055
Albania,Soyabeans,79987.49223746188,-79546.49223746188,-1.0,2872130.0,-27.695992952081514
Chile,Soyabeans,616646.4521758287,-536911.2474951646,-1.0,19206688.0,-27.95439002784679
United States of America,Sorghum and products,19985776.13077306,-9410777.010041203,-0.8899080654854861,335388238.0,-28.05935314297218
French Polynesia,Soyabean Cake,9244.388885633543,-8503.83860318915,-1.0,300742.0,-28.27619222851863
South Africa,Sunflower seed,2466645.9398679435,-1683074.2051247892,-1.0,58466143.0,-28.787159863184222
United Arab Emirates,Soyabeans,275835.57392045215,-271518.5250609871,-1.0,9247550.0,-29.361130792586913
Estonia,Soyabeans,42551.96949885432,-41745.55335962244,-1.0,1329086.0,-31.40921908711885
Liberia,Soyabeans,163072.1875641504,-160072.1875641504,-1.0,5034191.0,-31.79700324523849
Antigua and Barbuda,Soyabean Cake,2975.787499571361,-2975.787499571361,-1.0,92377.0,-32.21351093422996
Namibia,Soyabeans,83165.85989302878,-83165.85989302878,-1.0,2467077.0,-33.710281394957995
"China, Macao SAR",Sorghum and products,22614.45729490281,-22614.45729490281,-1.0,670019.0,-33.751964190422676
"China, Macao SAR",Soyabeans,26614.79784743169,-23913.9481629822,-1.0,670019.0,-35.69144779921495
Slovenia,Soyabeans,81109.42474356755,-76697.82069470904,-1.0,2116252.0,-36.24229094394667
Slovenia,Sorghum and products,77229.85420093514,-76999.85420093514,-1.0,2116252.0,-36.385011898835835
United Arab Emirates,Sorghum and products,352303.97255495907,-343041.07054688764,-1.0,9247550.0,-37.09534639411386
Netherlands,Sorghum and products,687695.4019242185,-674476.0711725855,-1.0,17402277.0,-38.757920654439964
Bahamas,Sunflower seed,16012.713623537446,-16012.713623537446,-1.0,405779.0,-39.46166170141246
Liberia,Sorghum and products,199110.55923970064,-199110.55923970064,-1.0,5034191.0,-39.55164975657472
Bosnia and Herzegovina,Sorghum and products,141078.75728773215,-141078.75728773215,-1.0,3340974.0,-42.22683483550969
Belize,Sorghum and products,32935.96449802692,-17935.964498026922,-1.0,392426.0,-45.70534189382692
North Macedonia,Soyabeans,99502.1095407778,-98494.8494609423,-1.0,2114024.0,-46.59116900325744
Lesotho,Sunflower seed,104922.324827811,-104922.324827811,-1.0,2239604.0,-46.84860574807466
Zambia,Soyabean Cake,1143151.7816918995,-975691.5876883767,-1.0,18654918.0,-52.30211077252533
Saint Kitts and Nevis,Sorghum and products,2722.3319384315955,-2722.3319384315955,-1.0,47681.0,-57.09469051470388
Congo,Sunflower seed,324124.04576467234,-324124.04576467234,-1.0,5635288.0,-57.51685552977458
Malta,Sorghum and products,29918.104281231183,-29918.104281231183,-1.0,509595.0,-58.709571878121224
Eswatini,Soyabeans,72063.74063100661,-72063.74063100661,-1.0,1174222.0,-61.37147884386991
Spain,Sunflower seed,4188825.714416112,-3164672.585318233,-1.0,47329954.0,-66.86405368824641
Suriname,Soyabeans,40467.69818838569,-40462.69818838569,-1.0,603805.0,-67.01285711179221
Hungary,Sunflower seed,1863892.0633855695,-701985.8770687163,-0.6041674322209727,9770120.0,-71.85028198924029
Azerbaijan,Soyabeans,758716.5030212088,-748925.8387486845,-1.0,10273528.0,-72.89860296761584
Cambodia,Soyabeans,1344696.1235431691,-1221672.8692862992,-1.0,16296280.0,-74.9663646725694
Malta,Soyabeans,40575.13390574626,-40575.13390574626,-1.0,509595.0,-79.62231557559682
Cyprus,Soyabeans,103328.1761422848,-103328.1761422848,-1.0,1233778.0,-83.74940722097882
Zimbabwe,Soyabean Cake,1404467.0619396896,-1314811.1395136795,-1.0,15505226.0,-84.79793454888562
Guyana,Soyabeans,71866.454536706,-71866.454536706,-1.0,791842.0,-90.75857877797085
Austria,Soyabeans,1082918.577942843,-831973.3763346621,-1.0,8901106.0,-93.46853934046646
Azerbaijan,Sorghum and products,998605.7333701357,-998158.7333701357,-1.0,10273528.0,-97.1583212086574
Belize,Soyabeans,52782.3055291281,-38782.3055291281,-1.0,392426.0,-98.82705409205327
Zimbabwe,Soyabeans,1647540.697893105,-1585043.9138153845,-1.0,15505226.0,-102.22643087017141
Lesotho,Sorghum and products,248973.72695344067,-228973.72695344067,-1.0,2239604.0,-102.23848812265055
Dominica,Sorghum and products,7430.323652246359,-7430.323652246359,-1.0,71764.0,-103.53831520325456
French Polynesia,Soyabeans,33099.17851636064,-33099.17851636064,-1.0,300742.0,-110.05838398481303
Fiji,Soyabeans,106873.37158221296,-106116.10714181096,-1.0,918091.0,-115.58343033730966
Cyprus,Sorghum and products,145168.98822982726,-145168.98822982726,-1.0,1233778.0,-117.66216307133638
Bosnia and Herzegovina,Soyabeans,465602.8572559901,-438878.8937647687,-1.0,3340974.0,-131.36255887198425
"China, Taiwan Province of",Sorghum and products,4091439.1351267,-4057046.3215789064,-1.0,23800896.0,-170.45771392719445
Bahamas,Sorghum and products,70888.20666203897,-70888.20666203897,-1.0,405779.0,-174.69658770424041
Saint Kitts and Nevis,Soyabean Cake,8479.831804196547,-8479.831804196547,-1.0,47681.0,-177.8450914241846
Gabon,Sorghum and products,419224.4562676732,-419224.4562676732,-1.0,2267995.0,-184.84364218954326
Mexico,Rabbits and hares,29734317.76523909,-25390760.37852274,-1.0,125610461.0,-202.1388997093382
Eswatini,Sunflower seed,250354.37949015145,-250354.37949015145,-1.0,1174222.0,-213.2087284092373
Bahamas,Soyabeans,95717.21748575548,-95717.21748575548,-1.0,405779.0,-235.88509382140396
Solomon Islands,Soyabeans,162727.67073234843,-162727.67073234843,-1.0,682897.0,-238.29021174840193
French Polynesia,Sorghum and products,74464.12117522713,-74464.12117522713,-1.0,300742.0,-247.6013366115379
Mauritius,Soyabeans,737543.5381987159,-736971.2018300156,-1.0,1296960.0,-568.2297078013321
Mexico,Pigs,90775910.73091118,-71972019.01157027,-1.0,125610461.0,-572.9779067650288
France,Sorghum and products,41063120.42057571,-40532587.932794556,-1.0,64457760.0,-628.8240226280677
Zambia,Soyabeans,13647751.462726902,-13350555.273205008,-1.0,18654918.0,-715.6587487120022
Mauritius,Sorghum and products,978804.5759988896,-978804.5759988896,-1.0,1296960.0,-754.6914137667235
Brazil,Sorghum and products,218666947.18196324,-215894899.96929547,-1.0,212564935.0,-1015.665636335059
Italy,Sorghum and products,81879570.66850139,-81403506.87654492,-1.0,59639898.0,-1364.9169365873986
Saint Kitts and Nevis,Poultry Birds,85249.40756102955,-68447.5948530175,-1.0,47681.0,-1435.5318649570581
Argentina,Sorghum and products,82014682.938525,-80176682.938525,-1.0,44908441.0,-1785.3365904758307
Eswatini,Sorghum and products,2305476.2429918493,-2301230.7034431337,-1.0,1174222.0,-1959.7918480859103
Saint Kitts and Nevis,Soyabeans,307491.75712196535,-307491.75712196535,-1.0,47681.0,-6448.936832741875
Mexico,Sorghum and products,3388993511.8612714,-3383692399.192705,-1.0,125610461.0,-26937.982491702704
Mexico,Poultry Birds,11859184865.500196,-10057120066.770542,-1.0,125610461.0,-80065.94344694383
