area,item,amount [t],absolute_losses [t],relative_losses,population,al/capita [kg]
Croatia,Pigs,1722687.1749341213,-42069.51690894482,-0.025032175943205948,4114639.0,-10.224351859043969
Brazil,Soyabean Cake,37909938.69703076,-2221294.9683786407,-0.06224094659543766,212564935.0,-10.449959530618917
United Arab Emirates,Soyabean Cake,226534.4685480886,-98125.20420025647,-0.7641598501371141,9247550.0,-10.610940649172642
Belgium,Soyabeans,462938.0261875116,-122551.85692084534,-0.36003771006581475,11541273.0,-10.618573611493753
Ireland,Milk - Excluding Butter,9498797.041191293,-53102.365122070536,-0.005621859158395859,4925074.0,-10.782044111838834
Saint Vincent and the Grenadines,Poultry Birds,442181.8464861804,-1132.8793177675107,-0.002568602132866804,104712.0,-10.819001812280451
Niger,Soyabean Cake,265009.53109513334,-263988.27755796217,-1.0,23881690.0,-11.054003194830942
Portugal,Soyabean Oil,284497.4815238201,-115367.50008498091,-0.682123294187791,10298399.0,-11.202469440636445
Netherlands,Soyabean Oil,700915.543979783,-196841.15678221942,-0.39050021540783186,17402277.0,-11.311229948944003
Democratic People's Republic of Korea,Poultry Birds,31844755.649989396,-294873.27262737975,-0.0093462558465498,25813233.0,-11.423337503960846
Cyprus,Poultry Birds,12384931.283241125,-14134.929244603962,-0.0011426046343441243,1233778.0,-11.456622864570418
Cuba,Milk - Excluding Butter,1042678.0019299658,-130873.77345486544,-0.14353275557159728,11309236.0,-11.572291307287728
Mexico,Poultry Birds,1803536197.752391,-1471399.022737503,-0.0008165072775268012,125610461.0,-11.713984735216465
South Africa,Pigs,4121049.148109064,-688725.3133994834,-0.2006586052384416,58466143.0,-11.779899922583972
Eswatini,Soyabean Cake,40920.7190837568,-14058.771307754218,-0.523371254571263,1174222.0,-11.97283929934392
Guyana,Sorghum and products,9536.36834705337,-9536.36834705337,-1.0,791842.0,-12.043271696946324
Bahrain,Poultry Birds,6286055.981297152,-18019.7478715498,-0.002874863386311599,1494033.0,-12.061144480443069
Niger,Poultry Birds,25546479.58519752,-305765.37304287776,-0.012113974686803308,23881690.0,-12.803339003348498
Kuwait,Poultry Birds,46271974.930492215,-57713.68862940371,-0.0012488285450968917,4468361.0,-12.916075632520226
