area,item,amount [t]
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",2900.1697397458097
Afghanistan,Apples and products,273347.06375815056
Afghanistan,Asses,0.0
Afghanistan,Bananas,96917.49934180563
Afghanistan,Barley and products,141262.98815522002
Afghanistan,Beans,0.0
Afghanistan,Beer,201.040155722688
Afghanistan,"Beverages, Alcoholic",0.0
Afghanistan,"Beverages, Fermented",0.0
Afghanistan,Bovine Meat,130132.06056794482
Afghanistan,Buffaloes,0.0
Afghanistan,"Butter, Ghee",54461.57728340831
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,26149.249715105074
Afghanistan,Cassava and products,2896.508852852477
Afghanistan,Cattle,791227.7351953789
Afghanistan,"Cereals, Other",114.59029441864622
Afghanistan,"Citrus, Other",54795.95489789282
Afghanistan,Cloves,0.0
Afghanistan,Cocoa Beans and products,0.0
Afghanistan,Coconut Oil,0.0
Afghanistan,Coconuts - Incl Copra,2001.05829320245
Afghanistan,Coffee and products,0.0
Afghanistan,Copra Cake,0.0
Afghanistan,Cotton lint,24439.999999999964
Afghanistan,Cottonseed,47999.99999999992
Afghanistan,Cottonseed Cake,21011.14292519704
Afghanistan,Cottonseed Oil,18480.987590163437
Afghanistan,Dates,525.8981056859675
Afghanistan,Eggs,53872.090802374485
Afghanistan,"Fats, Animals, Raw",11247.505792533988
Afghanistan,"Fish, Seafood",12148.990438968454
Afghanistan,Fodder crops,0.0
Afghanistan,"Fruits, Other",416136.79230530094
Afghanistan,Goats,3704329.6331682713
Afghanistan,Grapefruit and products,994.9998944006976
Afghanistan,Grapes and products (excl wine),993569.3157130458
Afghanistan,Grazing,38066589.0
Afghanistan,Groundnut Cake,0.0
Afghanistan,Groundnut Oil,0.0
Afghanistan,Groundnuts,15050.242731066317
Afghanistan,"Hard Fibres, Other",0.0
Afghanistan,Hides and skins,45026.99563225594
Afghanistan,Honey,2000.0
Afghanistan,Hops,0.0
Afghanistan,Horses,0.0
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,0.0
Afghanistan,"Lemons, Limes and products",1969.8902921306371
Afghanistan,Maize Germ Oil,1793.3747214258062
Afghanistan,Maize and products,403445.05186425336
Afghanistan,"Meat, Other",12715.803539688484
Afghanistan,Milk - Excluding Butter,3253028.0685244445
Afghanistan,Millet and products,5961.4187888293
Afghanistan,Mules,0.0
Afghanistan,Mutton & Goat Meat,157886.5347904165
Afghanistan,Nuts and products,75942.86896178646
Afghanistan,Oats,1878.4262054444487
Afghanistan,"Offals, Edible",59917.81634073844
Afghanistan,"Oil, palm fruit",0.0
Afghanistan,"Oilcrops Oil, Other",13649.290398908146
Afghanistan,"Oilcrops, Other",33895.63869578542
Afghanistan,"Oilseed Cakes, Other",18006.375856774175
Afghanistan,Olive Oil,1000.0000000000002
Afghanistan,Olives (including preserved),9000.0
Afghanistan,Onions,345387.22406935814
Afghanistan,"Oranges, Mandarines",137876.12424369503
Afghanistan,Palm Oil,155297.6729424831
Afghanistan,Palm kernels,0.0
Afghanistan,Palmkernel Cake,0.0
Afghanistan,Palmkernel Oil,0.0
Afghanistan,Peas,19472.69024291547
Afghanistan,Pepper,0.0
Afghanistan,Pigmeat,0.0
Afghanistan,Pigs,0.0
Afghanistan,Pimento,2995.077398474719
Afghanistan,Pineapples and products,893.2821424426683
Afghanistan,Plantains,0.0
Afghanistan,Potatoes and products,949644.9685708501
Afghanistan,Poultry Birds,126297022.63469896
Afghanistan,Poultry Meat,76652.59937611918
Afghanistan,"Pulses, Other and products",67425.84451648887
Afghanistan,Rabbits and hares,0.0
Afghanistan,Rape and Mustard Cake,883.0670730548004
Afghanistan,Rape and Mustard Oil,1745.2409347725522
Afghanistan,Rape and Mustardseed,0.0
Afghanistan,Rice and products,257069.46823847745
Afghanistan,Ricebran Oil,0.0
Afghanistan,"Rodents, other",0.0
Afghanistan,"Roots, Other",0.0
Afghanistan,Rubber,0.0
Afghanistan,Rye and products,4.694708906458803
Afghanistan,Seed cotton,74061.99999999988
Afghanistan,Sesame seed,41999.999999999796
Afghanistan,Sesameseed Cake,3381.9999999999845
Afghanistan,Sesameseed Oil,1999.999999999991
Afghanistan,Sheep,7102410.018297199
Afghanistan,Silk,555.99817272134
Afghanistan,Sisal,0.0
Afghanistan,"Soft-Fibres, Other",0.0
Afghanistan,Sorghum and products,10446.388787707478
Afghanistan,Soyabean Cake,41558.83835568336
Afghanistan,Soyabean Oil,5635.937585423313
Afghanistan,Soyabeans,50812279.76104811
Afghanistan,"Spices, Other",19974.316756281707
Afghanistan,Sugar (Raw Equivalent),750605.3142555102
Afghanistan,Sugar beet,5000.0
Afghanistan,Sugar cane,40000.0
Afghanistan,Sugar non-centrifugal,0.0
Afghanistan,Sunflower seed,6558.0011061129935
Afghanistan,Sunflowerseed Cake,4623.5414785231915
Afghanistan,Sunflowerseed Oil,99405.56220298518
Afghanistan,Sweet potatoes,0.0
Afghanistan,"Sweeteners, Other",17700.363577821627
Afghanistan,Tea (including mate),14977.066100792543
Afghanistan,Tobacco,0.0
Afghanistan,Tomatoes and products,15903.01866721403
Afghanistan,"Vegetables, Other",3337911.585650942
Afghanistan,Wheat and products,6854153.098255787
Afghanistan,Wine,0.0
Afghanistan,Wool (Clean Eq.),13787.344252510735
Afghanistan,Yams,0.0
Albania,Abaca,0.0
Albania,"Alcohol, Non-Food",606.5719914807431
Albania,Apples and products,108845.46041447237
Albania,Asses,0.0
Albania,Bananas,26355.83070739116
Albania,Barley and products,23145.995785112445
Albania,Beans,24500.87950138751
Albania,Beer,82407.8028854307
Albania,"Beverages, Alcoholic",3856.555801591959
Albania,"Beverages, Fermented",0.0
Albania,Bovine Meat,34010.91216644794
Albania,Buffaloes,0.0
Albania,"Butter, Ghee",4005.7219700049
Albania,"Camelids, other",0.0
Albania,Camels,0.0
Albania,Cassava and products,0.0
Albania,Cattle,283602.58368620794
Albania,"Cereals, Other",956.8207563262872
Albania,"Citrus, Other",16.0
Albania,Cloves,0.0
Albania,Cocoa Beans and products,0.0
Albania,Coconut Oil,0.0
Albania,Coconuts - Incl Copra,0.0
Albania,Coffee and products,7996.15026069247
Albania,Copra Cake,16.95697678596091
Albania,Cotton lint,248.86297459836175
Albania,Cottonseed,1000.0
Albania,Cottonseed Cake,27.015213611859416
Albania,Cottonseed Oil,126.70418834467365
Albania,Dates,15013.525473030684
Albania,Eggs,54806.34633744716
Albania,"Fats, Animals, Raw",3995.1230498817504
Albania,"Fish, Seafood",21756.156368428048
Albania,Fodder crops,6408178.905014191
Albania,"Fruits, Other",166560.2466138252
Albania,Goats,748625.4362871443
Albania,Grapefruit and products,0.0
Albania,Grapes and products (excl wine),203883.25305524253
Albania,Grazing,9615854.0
Albania,Groundnut Cake,39.0
Albania,Groundnut Oil,64.0
Albania,Groundnuts,1000.1346771586199
Albania,"Hard Fibres, Other",0.0
Albania,Hides and skins,13915.97383711902
Albania,Honey,5000.0
Albania,Hops,1801.735113635004
Albania,Horses,2.9761357057618882
Albania,Jute,0.0
Albania,Jute-Like Fibres,0.0
Albania,"Lemons, Limes and products",9489.57625763146
Albania,Maize Germ Oil,1711.2569701528732
Albania,Maize and products,519815.07969258184
Albania,"Meat, Other",0.0
Albania,Milk - Excluding Butter,1073683.3607208796
Albania,Millet and products,0.0
Albania,Mules,0.0
Albania,Mutton & Goat Meat,24000.021710803354
Albania,Nuts and products,16823.12582765883
Albania,Oats,36071.3380041692
Albania,"Offals, Edible",14230.532323623678
Albania,"Oil, palm fruit",0.0
Albania,"Oilcrops Oil, Other",3691.28800726635
Albania,"Oilcrops, Other",0.0
Albania,"Oilseed Cakes, Other",635.3716912330364
