area,item,amount [t]
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",60.55772995737276
Afghanistan,Apples and products,0.022230282928644225
Afghanistan,Asses,0.0
Afghanistan,Bananas,5.671509548815692e-06
Afghanistan,Barley and products,0.31932367020293684
Afghanistan,Beans,1.7727576966127379
Afghanistan,Beer,10.134008808340695
Afghanistan,"Beverages, Alcoholic",10.450631221388822
Afghanistan,"Beverages, Fermented",0.32287248835847926
Afghanistan,Bovine Meat,5.764079077253807
Afghanistan,Buffaloes,3.669646988526789e-06
Afghanistan,"Butter, Ghee",11.447867822198099
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,0.635651123618673
Afghanistan,Cassava and products,1.1037016209590593e-08
Afghanistan,Cattle,170.28678758975116
Afghanistan,"Cereals, Other",2.7612355625024865
Afghanistan,"Citrus, Other",0.2894118579381655
Afghanistan,Cloves,7.87050208906146e-12
Afghanistan,Cocoa Beans and products,0.000275057819536123
Afghanistan,Coconut Oil,2.4369620164864946e-06
Afghanistan,Coconuts - Incl Copra,0.0002556474185412665
Afghanistan,Coffee and products,0.0008298398444437948
Afghanistan,Copra Cake,1.0881666288851901e-07
Afghanistan,Cotton lint,0.9173982709879682
Afghanistan,Cottonseed,0.02320580380927042
Afghanistan,Cottonseed Cake,0.007767171346977446
Afghanistan,Cottonseed Oil,0.023529332448111923
Afghanistan,Dates,4.117793797965289e-05
Afghanistan,Eggs,73.25984064882883
Afghanistan,"Fats, Animals, Raw",0.6175417775489777
Afghanistan,"Fish, Seafood",32.66568885067433
Afghanistan,Fodder crops,1.646256685634705e-12
Afghanistan,"Fruits, Other",0.01217159440959253
Afghanistan,Goats,13.091596297899393
Afghanistan,Grapefruit and products,0.00039606167950676576
Afghanistan,Grapes and products (excl wine),1.3392484306137044e-08
Afghanistan,Grazing,0.0
Afghanistan,Groundnut Cake,1.2379888284931677e-05
Afghanistan,Groundnut Oil,0.004032031600983773
Afghanistan,Groundnuts,99.38674473789722
Afghanistan,"Hard Fibres, Other",3.8546461782039843e-13
Afghanistan,Hides and skins,0.8000464838335071
Afghanistan,Honey,0.05165221505267333
Afghanistan,Hops,0.0003313468844488227
Afghanistan,Horses,0.58152490419813
