area,item,amount [t]
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",116974.24024068077
Afghanistan,Apples and products,273944.43229520327
Afghanistan,Asses,0.0
Afghanistan,Bananas,97000.99140992851
Afghanistan,Barley and products,8.225761405823322e+18
Afghanistan,Beans,0.0
Afghanistan,Beer,0.0
Afghanistan,"Beverages, Alcoholic",0.0
Afghanistan,"Beverages, Fermented",0.0
Afghanistan,Bovine Meat,246404548104739.72
Afghanistan,Buffaloes,0.0
Afghanistan,"Butter, Ghee",1.0063366641769592e+16
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,3104165194946643.0
Afghanistan,Cassava and products,2896.508852852477
Afghanistan,Cattle,7.379540022576971e+16
Afghanistan,"Cereals, Other",0.0
Afghanistan,"Citrus, Other",54795.95489789282
Afghanistan,Cloves,0.0
Afghanistan,Cocoa Beans and products,0.0
Afghanistan,Coconut Oil,0.0
Afghanistan,Coconuts - Incl Copra,2001.05829320245
Afghanistan,Coffee and products,0.0
Afghanistan,Copra Cake,0.0
Afghanistan,Cotton lint,24439.999999999964
Afghanistan,Cottonseed,47999.99999999992
Afghanistan,Cottonseed Cake,21011.134789005722
Afghanistan,Cottonseed Oil,18450.32219215421
Afghanistan,Dates,1001.0
Afghanistan,Eggs,552248704040592.1
Afghanistan,"Fats, Animals, Raw",11860002632212.865
Afghanistan,"Fish, Seafood",12148.990438968454
Afghanistan,Fodder crops,0.0
Afghanistan,"Fruits, Other",416138.9937760152
Afghanistan,Goats,5.1718188061243656e+16
Afghanistan,Grapefruit and products,999.8967993877321
Afghanistan,Grapes and products (excl wine),993592.8901876544
Afghanistan,Grazing,38066589.0
Afghanistan,Groundnut Cake,0.0
Afghanistan,Groundnut Oil,0.0
Afghanistan,Groundnuts,15050.512210018574
Afghanistan,"Hard Fibres, Other",0.0
Afghanistan,Hides and skins,70518382773985.08
Afghanistan,Honey,2000.0
Afghanistan,Hops,0.0
Afghanistan,Horses,0.0
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,0.0
Afghanistan,"Lemons, Limes and products",1996.5825123915733
Afghanistan,Maize Germ Oil,1891.8522177694344
Afghanistan,Maize and products,345094.69824712543
Afghanistan,"Meat, Other",34385327721763.027
Afghanistan,Milk - Excluding Butter,5.973726253744507e+17
Afghanistan,Millet and products,5997.323624204339
Afghanistan,Mules,0.0
Afghanistan,Mutton & Goat Meat,42418322171915.195
Afghanistan,Nuts and products,76101.48612409792
Afghanistan,Oats,2000.7418377654092
Afghanistan,"Offals, Edible",185380853520192.03
Afghanistan,"Oil, palm fruit",0.0
Afghanistan,"Oilcrops Oil, Other",13648.714465025882
Afghanistan,"Oilcrops, Other",33895.63869578542
Afghanistan,"Oilseed Cakes, Other",18007.26228227263
Afghanistan,Olive Oil,1000.0000000000002
Afghanistan,Olives (including preserved),9000.0
Afghanistan,Onions,346052.9475774799
Afghanistan,"Oranges, Mandarines",144039.98549074755
Afghanistan,Palm Oil,155297.67303861567
Afghanistan,Palm kernels,0.0
Afghanistan,Palmkernel Cake,0.0
Afghanistan,Palmkernel Oil,0.0
Afghanistan,Peas,27127.666891184424
Afghanistan,Pepper,0.0
Afghanistan,Pigmeat,0.0
Afghanistan,Pigs,0.0
Afghanistan,Pimento,2995.076271283805
Afghanistan,Pineapples and products,902.3692105160977
Afghanistan,Plantains,0.0
Afghanistan,Potatoes and products,938202.8427928685
Afghanistan,Poultry Birds,5.075993746097627e+19
Afghanistan,Poultry Meat,773148185289851.1
Afghanistan,"Pulses, Other and products",67828.93300351211
Afghanistan,Rabbits and hares,0.0
Afghanistan,Rape and Mustard Cake,894.6602476192647
Afghanistan,Rape and Mustard Oil,1743.783204816406
Afghanistan,Rape and Mustardseed,0.0
Afghanistan,Rice and products,888531.2835656512
Afghanistan,Ricebran Oil,0.0
Afghanistan,"Rodents, other",0.0
Afghanistan,"Roots, Other",0.0
Afghanistan,Rubber,0.0
Afghanistan,Rye and products,0.0
Afghanistan,Seed cotton,74061.99999999988
Afghanistan,Sesame seed,41999.999999999796
Afghanistan,Sesameseed Cake,3381.9999999999845
Afghanistan,Sesameseed Oil,1999.999999999991
Afghanistan,Sheep,9.903621536925213e+16
Afghanistan,Silk,555.99817272134
Afghanistan,Sisal,0.0
Afghanistan,"Soft-Fibres, Other",0.0
Afghanistan,Sorghum and products,1069.7826996849922
Afghanistan,Soyabean Cake,22015.500917250305
Afghanistan,Soyabean Oil,5225.26951175824
Afghanistan,Soyabeans,7757.998909120939
