area,item,amount [t]
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",2024.7887779345556
Afghanistan,Apples and products,273405.0822175117
Afghanistan,Asses,0.0
Afghanistan,Bananas,97000.99140992851
Afghanistan,Barley and products,132317.72377003994
Afghanistan,Beans,0.0
Afghanistan,Beer,0.0
Afghanistan,"Beverages, Alcoholic",0.0
Afghanistan,"Beverages, Fermented",0.0
Afghanistan,Bovine Meat,124962.94121610683
Afghanistan,Buffaloes,0.0
Afghanistan,"Butter, Ghee",35930.94059357448
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,20431.927044260672
Afghanistan,Cassava and products,2896.508852852477
Afghanistan,Cattle,655439.7574101625
Afghanistan,"Cereals, Other",0.0
Afghanistan,"Citrus, Other",54795.95489789282
Afghanistan,Cloves,0.0
Afghanistan,Cocoa Beans and products,0.0
Afghanistan,Coconut Oil,0.0
Afghanistan,Coconuts - Incl Copra,2001.05829320245
Afghanistan,Coffee and products,0.0
Afghanistan,Copra Cake,0.0
Afghanistan,Cotton lint,24439.999999999964
Afghanistan,Cottonseed,47999.99999999992
Afghanistan,Cottonseed Cake,21011.14292519704
Afghanistan,Cottonseed Oil,18480.987590163437
Afghanistan,Dates,525.8981056859675
Afghanistan,Eggs,43566.96606138179
Afghanistan,"Fats, Animals, Raw",10998.654734026411
Afghanistan,"Fish, Seafood",12148.990438968454
Afghanistan,Fodder crops,0.0
Afghanistan,"Fruits, Other",416136.7930840083
Afghanistan,Goats,3608258.6351832035
Afghanistan,Grapefruit and products,994.9998944006976
Afghanistan,Grapes and products (excl wine),993582.2084242103
Afghanistan,Grazing,38066589.0
Afghanistan,Groundnut Cake,0.0
Afghanistan,Groundnut Oil,0.0
Afghanistan,Groundnuts,15050.244557118329
Afghanistan,"Hard Fibres, Other",0.0
Afghanistan,Hides and skins,43547.02763752471
Afghanistan,Honey,2000.0
Afghanistan,Hops,0.0
Afghanistan,Horses,0.0
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,0.0
Afghanistan,"Lemons, Limes and products",1969.928856414118
Afghanistan,Maize Germ Oil,1891.8292031626925
Afghanistan,Maize and products,345213.56272826606
Afghanistan,"Meat, Other",11993.768094678719
Afghanistan,Milk - Excluding Butter,2149251.040316712
Afghanistan,Millet and products,6001.9965568132875
Afghanistan,Mules,0.0
Afghanistan,Mutton & Goat Meat,156995.81036775702
Afghanistan,Nuts and products,76099.0764810462
Afghanistan,Oats,1960.3367613358612
Afghanistan,"Offals, Edible",56058.2515114792
Afghanistan,"Oil, palm fruit",0.0
Afghanistan,"Oilcrops Oil, Other",13648.714465025882
Afghanistan,"Oilcrops, Other",33895.63869578542
Afghanistan,"Oilseed Cakes, Other",18006.379479868894
Afghanistan,Olive Oil,1000.0000000000002
Afghanistan,Olives (including preserved),9000.0
Afghanistan,Onions,345387.2973623545
Afghanistan,"Oranges, Mandarines",144042.0840873144
Afghanistan,Palm Oil,155297.67303861567
Afghanistan,Palm kernels,0.0
Afghanistan,Palmkernel Cake,0.0
Afghanistan,Palmkernel Oil,0.0
Afghanistan,Peas,27244.894054304095
Afghanistan,Pepper,0.0
Afghanistan,Pigmeat,0.0
Afghanistan,Pigs,0.0
Afghanistan,Pimento,2995.077398474719
Afghanistan,Pineapples and products,943.3500618725373
Afghanistan,Plantains,0.0
Afghanistan,Potatoes and products,938202.8427928685
Afghanistan,Poultry Birds,33425449.050717853
Afghanistan,Poultry Meat,62029.893118454274
Afghanistan,"Pulses, Other and products",67415.7441781989
Afghanistan,Rabbits and hares,0.0
Afghanistan,Rape and Mustard Cake,883.0776930398524
Afghanistan,Rape and Mustard Oil,1743.8114837476944
Afghanistan,Rape and Mustardseed,0.0
Afghanistan,Rice and products,264693.0424380241
Afghanistan,Ricebran Oil,0.0
Afghanistan,"Rodents, other",0.0
Afghanistan,"Roots, Other",0.0
Afghanistan,Rubber,0.0
Afghanistan,Rye and products,0.0
Afghanistan,Seed cotton,74061.99999999988
Afghanistan,Sesame seed,41999.999999999796
Afghanistan,Sesameseed Cake,3381.9999999999845
Afghanistan,Sesameseed Oil,1999.999999999991
Afghanistan,Sheep,6920678.337669633
Afghanistan,Silk,555.99817272134
Afghanistan,Sisal,0.0
Afghanistan,"Soft-Fibres, Other",0.0
Afghanistan,Sorghum and products,1052.9770012174558
Afghanistan,Soyabean Cake,22015.500917250305
Afghanistan,Soyabean Oil,5225.26951175824
Afghanistan,Soyabeans,7757.998909120939
Afghanistan,"Spices, Other",19975.55535028976
Afghanistan,Sugar (Raw Equivalent),750615.5688905474
Afghanistan,Sugar beet,5000.0
Afghanistan,Sugar cane,40000.0
Afghanistan,Sugar non-centrifugal,0.0
Afghanistan,Sunflower seed,6558.0011061129935
Afghanistan,Sunflowerseed Cake,4623.541640973718
Afghanistan,Sunflowerseed Oil,99404.9031902451
Afghanistan,Sweet potatoes,0.0
Afghanistan,"Sweeteners, Other",17857.27861340196
Afghanistan,Tea (including mate),14977.241131834988
Afghanistan,Tobacco,0.0
Afghanistan,Tomatoes and products,16285.158175279377
Afghanistan,"Vegetables, Other",3337911.624834892
Afghanistan,Wheat and products,7523275.898965804
Afghanistan,Wine,0.0
Afghanistan,Wool (Clean Eq.),13710.858458334824
Afghanistan,Yams,0.0
Albania,Abaca,0.0
Albania,"Alcohol, Non-Food",580.8676813410689
Albania,Apples and products,108894.1964533898
Albania,Asses,0.0
Albania,Bananas,27051.999753939726
Albania,Barley and products,23752.00110381305
Albania,Beans,24682.247441987067
Albania,Beer,84126.9755211816
Albania,"Beverages, Alcoholic",3943.604754357164
Albania,"Beverages, Fermented",0.0
Albania,Bovine Meat,33980.48865974544
Albania,Buffaloes,0.0
Albania,"Butter, Ghee",3999.1565516036617
Albania,"Camelids, other",0.0
Albania,Camels,0.0
Albania,Cassava and products,0.0
