area,item,amount [t]
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",60.51747858104203
Afghanistan,Apples and products,0.022229590681729663
Afghanistan,Asses,0.0
Afghanistan,Bananas,5.671175183946506e-06
Afghanistan,Barley and products,0.3193311410548758
Afghanistan,Beans,1.7724086662656846
Afghanistan,Beer,10.128597544723696
Afghanistan,"Beverages, Alcoholic",10.447266746096547
Afghanistan,"Beverages, Fermented",0.32285471237870134
Afghanistan,Bovine Meat,5.764190045183213
Afghanistan,Buffaloes,3.6699791358606065e-06
Afghanistan,"Butter, Ghee",11.447414336920431
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,0.6356073125731658
Afghanistan,Cassava and products,1.1036852540471344e-08
Afghanistan,Cattle,170.28797557503546
Afghanistan,"Cereals, Other",2.761229228411491
Afghanistan,"Citrus, Other",0.289409101269831
Afghanistan,Cloves,7.86993800162762e-12
Afghanistan,Cocoa Beans and products,0.00027505337121097037
Afghanistan,Coconut Oil,2.4367837638302043e-06
Afghanistan,Coconuts - Incl Copra,0.0002556118433394281
Afghanistan,Coffee and products,0.0008298183772476945
Afghanistan,Copra Cake,1.0881388785226909e-07
Afghanistan,Cotton lint,0.9157054701976465
Afghanistan,Cottonseed,0.023204484162802335
Afghanistan,Cottonseed Cake,0.0077666924547583555
Afghanistan,Cottonseed Oil,0.023244820730232946
Afghanistan,Dates,4.117149080238106e-05
Afghanistan,Eggs,73.2600998517228
Afghanistan,"Fats, Animals, Raw",0.6176229752598291
Afghanistan,"Fish, Seafood",32.66706968527182
Afghanistan,Fodder crops,1.6461453421578913e-12
Afghanistan,"Fruits, Other",0.01217115146851621
Afghanistan,Goats,13.09126965318325
Afghanistan,Grapefruit and products,0.00039605672882946324
Afghanistan,Grapes and products (excl wine),1.3391654462582833e-08
Afghanistan,Grazing,0.0
Afghanistan,Groundnut Cake,1.2511758714719085e-05
Afghanistan,Groundnut Oil,0.004035791952091649
Afghanistan,Groundnuts,99.38636779521477
Afghanistan,"Hard Fibres, Other",3.854595727409198e-13
Afghanistan,Hides and skins,0.800061737664019
Afghanistan,Honey,0.05172406373706265
Afghanistan,Hops,0.00033134582389210334
Afghanistan,Horses,0.5815259480451332
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,0.0
Afghanistan,"Lemons, Limes and products",9.926093037221512e-08
Afghanistan,Maize Germ Oil,0.6692721061016226
Afghanistan,Maize and products,43.455808710395765
Afghanistan,"Meat, Other",0.25437011762660444
Afghanistan,Milk - Excluding Butter,326.9223292376879
Afghanistan,Millet and products,208.08705638279218
Afghanistan,Mules,5.524844753525423e-07
Afghanistan,Mutton & Goat Meat,0.06849278577472181
Afghanistan,Nuts and products,0.0016122514104006166
Afghanistan,Oats,0.2997088672595563
Afghanistan,"Offals, Edible",17.990283423828657
Afghanistan,"Oil, palm fruit",0.0
Afghanistan,"Oilcrops Oil, Other",119.0495205125274
Afghanistan,"Oilcrops, Other",46.04727094487842
Afghanistan,"Oilseed Cakes, Other",1.891665970435798
Afghanistan,Olive Oil,0.0051174779618454996
Afghanistan,Olives (including preserved),1.1012479429735651e-10
Afghanistan,Onions,1.539861928983183e-05
Afghanistan,"Oranges, Mandarines",8.895704392218388e-07
Afghanistan,Palm Oil,3.5044926152011363e-07
Afghanistan,Palm kernels,0.0
Afghanistan,Palmkernel Cake,0.035790426982356745
Afghanistan,Palmkernel Oil,0.0005266249800593691
Afghanistan,Peas,0.11101458028102243
Afghanistan,Pepper,1.595910225462562e-05
Afghanistan,Pigmeat,62.62305831069319
Afghanistan,Pigs,27.217529932661666
Afghanistan,Pimento,0.025007276962685596
Afghanistan,Pineapples and products,7.474508971320061e-09
Afghanistan,Plantains,1.028513721942164e-19
Afghanistan,Potatoes and products,8.279882550438526
Afghanistan,Poultry Birds,114742.5650247456
