area,item,amount [t]
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",2901.5258305808047
Afghanistan,Apples and products,273355.21610868396
Afghanistan,Asses,0.0
Afghanistan,Bananas,96917.49934180563
Afghanistan,Barley and products,141263.09206343314
Afghanistan,Beans,0.0
Afghanistan,Beer,201.05214649437733
Afghanistan,"Beverages, Alcoholic",0.0
Afghanistan,"Beverages, Fermented",0.0
Afghanistan,Bovine Meat,125019.99379094865
Afghanistan,Buffaloes,0.0
Afghanistan,"Butter, Ghee",35976.68772387422
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,20446.02824483655
Afghanistan,Cassava and products,2896.508852852477
Afghanistan,Cattle,655774.8226418315
Afghanistan,"Cereals, Other",114.59090088827244
Afghanistan,"Citrus, Other",54795.95489789282
Afghanistan,Cloves,0.0
Afghanistan,Cocoa Beans and products,0.0
Afghanistan,Coconut Oil,0.0
Afghanistan,Coconuts - Incl Copra,2001.05829320245
Afghanistan,Coffee and products,0.0
Afghanistan,Copra Cake,0.0
Afghanistan,Cotton lint,24439.999999999964
Afghanistan,Cottonseed,47999.99999999992
Afghanistan,Cottonseed Cake,21011.134789005722
Afghanistan,Cottonseed Oil,18450.32219215421
Afghanistan,Dates,1001.0
Afghanistan,Eggs,42889.42564933203
Afghanistan,"Fats, Animals, Raw",11001.35445810552
Afghanistan,"Fish, Seafood",12148.990438968454
Afghanistan,Fodder crops,0.0
Afghanistan,"Fruits, Other",416138.99334959773
Afghanistan,Goats,3608493.523932076
Afghanistan,Grapefruit and products,999.8967993877321
Afghanistan,Grapes and products (excl wine),993579.044755893
Afghanistan,Grazing,38066589.0
Afghanistan,Groundnut Cake,0.0
Afghanistan,Groundnut Oil,0.0
Afghanistan,Groundnuts,15050.244557118329
Afghanistan,"Hard Fibres, Other",0.0
Afghanistan,Hides and skins,43563.017698537726
Afghanistan,Honey,2000.0
Afghanistan,Hops,0.0
Afghanistan,Horses,0.0
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,0.0
Afghanistan,"Lemons, Limes and products",1996.5925225655985
Afghanistan,Maize Germ Oil,1793.5310386715075
Afghanistan,Maize and products,403356.8622106599
Afghanistan,"Meat, Other",12001.599630391125
Afghanistan,Milk - Excluding Butter,2151961.4436278204
Afghanistan,Millet and products,5958.485784133419
Afghanistan,Mules,0.0
Afghanistan,Mutton & Goat Meat,157005.48166488274
Afghanistan,Nuts and products,75976.30828086306
Afghanistan,Oats,1913.5378209850542
Afghanistan,"Offals, Edible",56085.55463096082
Afghanistan,"Oil, palm fruit",0.0
Afghanistan,"Oilcrops Oil, Other",13649.290411889315
Afghanistan,"Oilcrops, Other",33895.63869578542
Afghanistan,"Oilseed Cakes, Other",18007.25876787573
Afghanistan,Olive Oil,1000.0000000000002
Afghanistan,Olives (including preserved),9000.0
Afghanistan,Onions,346053.0
Afghanistan,"Oranges, Mandarines",138368.6112304556
Afghanistan,Palm Oil,155297.67294720613
Afghanistan,Palm kernels,0.0
Afghanistan,Palmkernel Cake,0.0
Afghanistan,Palmkernel Oil,0.0
Afghanistan,Peas,19459.9261150993
Afghanistan,Pepper,0.0
Afghanistan,Pigmeat,0.0
Afghanistan,Pigs,0.0
Afghanistan,Pimento,2995.076271283805
Afghanistan,Pineapples and products,935.7268476467492
Afghanistan,Plantains,0.0
Afghanistan,Potatoes and products,949644.9685708501
Afghanistan,Poultry Birds,33627835.57001402
Afghanistan,Poultry Meat,61059.260421624174
Afghanistan,"Pulses, Other and products",67816.4211116163
Afghanistan,Rabbits and hares,0.0
Afghanistan,Rape and Mustard Cake,894.6714536806995
Afghanistan,Rape and Mustard Oil,1745.2676456915144
Afghanistan,Rape and Mustardseed,0.0
Afghanistan,Rice and products,882291.329689407
Afghanistan,Ricebran Oil,0.0
Afghanistan,"Rodents, other",0.0
Afghanistan,"Roots, Other",0.0
Afghanistan,Rubber,0.0
Afghanistan,Rye and products,4.694708906458803
Afghanistan,Seed cotton,74061.99999999988
Afghanistan,Sesame seed,41999.999999999796
Afghanistan,Sesameseed Cake,3381.9999999999845
Afghanistan,Sesameseed Oil,1999.999999999991
Afghanistan,Sheep,6921129.24549367
Afghanistan,Silk,555.99817272134
Afghanistan,Sisal,0.0
Afghanistan,"Soft-Fibres, Other",0.0
Afghanistan,Sorghum and products,1044.8806550429667
Afghanistan,Soyabean Cake,22015.500917250305
Afghanistan,Soyabean Oil,5225.387829942475
Afghanistan,Soyabeans,7757.998909120939
Afghanistan,"Spices, Other",19974.862234605895
Afghanistan,Sugar (Raw Equivalent),750605.6219341086
Afghanistan,Sugar beet,5000.0
Afghanistan,Sugar cane,40000.0
Afghanistan,Sugar non-centrifugal,0.0
Afghanistan,Sunflower seed,6558.0011061129935
Afghanistan,Sunflowerseed Cake,4623.541640973718
Afghanistan,Sunflowerseed Oil,99405.56220304726
Afghanistan,Sweet potatoes,0.0
Afghanistan,"Sweeteners, Other",17843.687245669527
Afghanistan,Tea (including mate),14977.241131834988
Afghanistan,Tobacco,0.0
Afghanistan,Tomatoes and products,16172.784886501444
Afghanistan,"Vegetables, Other",3337921.999971832
Afghanistan,Wheat and products,6855423.939992407
Afghanistan,Wine,0.0
Afghanistan,Wool (Clean Eq.),13711.628823783227
Afghanistan,Yams,0.0
Albania,Abaca,0.0
Albania,"Alcohol, Non-Food",606.7255439387785
Albania,Apples and products,108848.35507216779
Albania,Asses,0.0
Albania,Bananas,26355.83070739116
Albania,Barley and products,23147.082854927106
Albania,Beans,24506.319870304935
Albania,Beer,82517.82964494132
Albania,"Beverages, Alcoholic",3859.4160095065904
Albania,"Beverages, Fermented",0.0
Albania,Bovine Meat,34011.34130463799
Albania,Buffaloes,0.0
Albania,"Butter, Ghee",4005.8616448124567
Albania,"Camelids, other",0.0
Albania,Camels,0.0
Albania,Cassava and products,0.0
Albania,Cattle,283608.61882982776
Albania,"Cereals, Other",956.8232136599963
Albania,"Citrus, Other",16.0
Albania,Cloves,0.0
Albania,Cocoa Beans and products,0.0
Albania,Coconut Oil,0.0
Albania,Coconuts - Incl Copra,0.0
Albania,Coffee and products,7996.15026069247
Albania,Copra Cake,16.95697678596091
Albania,Cotton lint,248.86299231884686
Albania,Cottonseed,1000.0
