area,item,amount [t]
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",145079.7600887395
Afghanistan,Apples and products,0.0001148720448977207
Afghanistan,Asses,
Afghanistan,Bananas,5.003348933029392e-07
Afghanistan,Barley and products,1470.0363545696846
Afghanistan,Beans,101.73568636775987
Afghanistan,Beer,29065.499046094847
Afghanistan,"Beverages, Alcoholic",561.4879937400809
Afghanistan,"Beverages, Fermented",5849.233786642358
Afghanistan,Bovine Meat,
Afghanistan,Buffaloes,
Afghanistan,"Butter, Ghee",
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,
Afghanistan,Cassava and products,6.542004564751873e-10
Afghanistan,Cattle,
Afghanistan,"Cereals, Other",70.35198965812722
Afghanistan,"Citrus, Other",5.327629962323801
Afghanistan,Cloves,1.0873152781950596e-12
Afghanistan,Cocoa Beans and products,0.0065224323609868
Afghanistan,Coconut Oil,0.013768677381057286
Afghanistan,Coconuts - Incl Copra,12.853090340689237
Afghanistan,Coffee and products,5.736317685891863e-07
Afghanistan,Copra Cake,0.00015723957623470905
Afghanistan,Cotton lint,3759.623078474317
Afghanistan,Cottonseed,8435.470111751612
Afghanistan,Cottonseed Cake,2727.7629404957956
Afghanistan,Cottonseed Oil,1197.7985434066372
Afghanistan,Dates,0.0006330527705658101
Afghanistan,Eggs,
Afghanistan,"Fats, Animals, Raw",
Afghanistan,"Fish, Seafood",99.55045132887311
Afghanistan,Fodder crops,1.0338820550584873e-14
Afghanistan,"Fruits, Other",6.201197582797616e-05
Afghanistan,Goats,
Afghanistan,Grapefruit and products,0.0050869590935101
Afghanistan,Grapes and products (excl wine),1.263614476009121e-09
Afghanistan,Grazing,0.0
Afghanistan,Groundnut Cake,0.023272441111825064
Afghanistan,Groundnut Oil,0.943056676488964
Afghanistan,Groundnuts,2165.088791789369
Afghanistan,"Hard Fibres, Other",2.3159960170350524e-12
Afghanistan,Hides and skins,
Afghanistan,Honey,1.5795313942987441
Afghanistan,Hops,0.004205921479058996
Afghanistan,Horses,
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,
Afghanistan,"Lemons, Limes and products",1.6532890696980886e-09
Afghanistan,Maize Germ Oil,62.23374496266522
Afghanistan,Maize and products,21939.14141790075
Afghanistan,"Meat, Other",
Afghanistan,Milk - Excluding Butter,
Afghanistan,Millet and products,2825312.023775094
Afghanistan,Mules,
Afghanistan,Mutton & Goat Meat,
Afghanistan,Nuts and products,2.9047877581754826e-05
Afghanistan,Oats,324.7638166462997
Afghanistan,"Offals, Edible",
Afghanistan,"Oil, palm fruit",0.0
Afghanistan,"Oilcrops Oil, Other",9525.082467395883
Afghanistan,"Oilcrops, Other",3940.9754773748227
Afghanistan,"Oilseed Cakes, Other",1834.3976678715728
Afghanistan,Olive Oil,0.02795473342133541
Afghanistan,Olives (including preserved),6.1218349411836926e-12
Afghanistan,Onions,0.00010355860793535958
Afghanistan,"Oranges, Mandarines",2.345436926306869e-08
Afghanistan,Palm Oil,2.9000648973526423e-09
Afghanistan,Palm kernels,0.0
Afghanistan,Palmkernel Cake,0.0009696568144995628
Afghanistan,Palmkernel Oil,3.585940640772228e-06
Afghanistan,Peas,6.854214887441152
Afghanistan,Pepper,0.0002884169677300753
Afghanistan,Pigmeat,
Afghanistan,Pigs,
Afghanistan,Pimento,0.7974602127596551
Afghanistan,Pineapples and products,1.650278772655817e-10
Afghanistan,Plantains,1.2000242014878612e-20
Afghanistan,Potatoes and products,13132.82099728778
