area,item,amount [t]
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",2655.6036019394687
Afghanistan,Apples and products,273352.45787851047
Afghanistan,Asses,0.0
Afghanistan,Bananas,96916.96374467638
Afghanistan,Barley and products,50985.641739731414
Afghanistan,Beans,0.0
Afghanistan,Beer,3871.396046738974
Afghanistan,"Beverages, Alcoholic",0.0
Afghanistan,"Beverages, Fermented",0.0
Afghanistan,Bovine Meat,124839.71818887265
Afghanistan,Buffaloes,0.0
Afghanistan,"Butter, Ghee",35834.702873532384
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,20402.2372027292
Afghanistan,Cassava and products,2896.508852852477
Afghanistan,Cattle,654733.6066205184
Afghanistan,"Cereals, Other",1309.9752368517065
Afghanistan,"Citrus, Other",54795.95489789282
Afghanistan,Cloves,0.0
Afghanistan,Cocoa Beans and products,0.0
Afghanistan,Coconut Oil,0.0
Afghanistan,Coconuts - Incl Copra,2001.05829320245
Afghanistan,Coffee and products,0.0
Afghanistan,Copra Cake,0.0
Afghanistan,Cotton lint,24439.999999999964
Afghanistan,Cottonseed,47999.99999999992
Afghanistan,Cottonseed Cake,21011.134789005722
Afghanistan,Cottonseed Oil,18450.32219215421
Afghanistan,Dates,1001.0
Afghanistan,Eggs,42596.888837665596
Afghanistan,"Fats, Animals, Raw",10992.669516103439
Afghanistan,"Fish, Seafood",12148.990438968454
Afghanistan,Fodder crops,0.0
Afghanistan,"Fruits, Other",416138.99334959773
Afghanistan,Goats,3607760.9405877586
Afghanistan,Grapefruit and products,999.8967993877321
Afghanistan,Grapes and products (excl wine),993578.852473005
Afghanistan,Grazing,38066589.0
Afghanistan,Groundnut Cake,0.0
Afghanistan,Groundnut Oil,0.0
Afghanistan,Groundnuts,15050.244557118329
Afghanistan,"Hard Fibres, Other",0.0
Afghanistan,Hides and skins,43511.40299708745
Afghanistan,Honey,2000.0
Afghanistan,Hops,0.0
Afghanistan,Horses,0.0
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,0.0
Afghanistan,"Lemons, Limes and products",1996.5925225655985
Afghanistan,Maize Germ Oil,1775.4370521592912
Afghanistan,Maize and products,371378.6826728181
Afghanistan,"Meat, Other",11976.433852742197
Afghanistan,Milk - Excluding Butter,2143534.3420118717
Afghanistan,Millet and products,5958.485784133419
Afghanistan,Mules,0.0
Afghanistan,Mutton & Goat Meat,156974.3366074889
Afghanistan,Nuts and products,75975.73993668213
Afghanistan,Oats,7158.96908263664
Afghanistan,"Offals, Edible",55974.234668321835
Afghanistan,"Oil, palm fruit",0.0
Afghanistan,"Oilcrops Oil, Other",13649.290411889315
Afghanistan,"Oilcrops, Other",33895.63869578542
Afghanistan,"Oilseed Cakes, Other",18007.258369108233
Afghanistan,Olive Oil,1000.0000000000002
Afghanistan,Olives (including preserved),9000.0
Afghanistan,Onions,346053.0
Afghanistan,"Oranges, Mandarines",138363.3049765982
Afghanistan,Palm Oil,155297.67294720613
Afghanistan,Palm kernels,0.0
Afghanistan,Palmkernel Cake,0.0
Afghanistan,Palmkernel Oil,0.0
Afghanistan,Peas,19339.599989976414
Afghanistan,Pepper,0.0
Afghanistan,Pigmeat,0.0
Afghanistan,Pigs,0.0
Afghanistan,Pimento,2995.076271283805
Afghanistan,Pineapples and products,935.6984615548912
