area,item,amount [t]
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",144766.26524938137
Afghanistan,Apples and products,0.00011466374691161498
Afghanistan,Asses,
Afghanistan,Bananas,4.993912928313272e-07
Afghanistan,Barley and products,1502.1149621830098
Afghanistan,Beans,101.61666023868501
Afghanistan,Beer,29003.242118173697
Afghanistan,"Beverages, Alcoholic",562.8994812212826
Afghanistan,"Beverages, Fermented",5835.871162104892
Afghanistan,Bovine Meat,
Afghanistan,Buffaloes,
Afghanistan,"Butter, Ghee",
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,
Afghanistan,Cassava and products,6.529903342250339e-10
Afghanistan,Cattle,
Afghanistan,"Cereals, Other",76.38721643812886
Afghanistan,"Citrus, Other",5.329089280505425
Afghanistan,Cloves,1.0852582761957794e-12
Afghanistan,Cocoa Beans and products,0.006526450311864926
Afghanistan,Coconut Oil,0.013738170685221983
Afghanistan,Coconuts - Incl Copra,12.82276668548514
Afghanistan,Coffee and products,5.725546362028894e-07
Afghanistan,Copra Cake,0.00015689213413372927
Afghanistan,Cotton lint,3750.75248660445
Afghanistan,Cottonseed,8415.53776973073
Afghanistan,Cottonseed Cake,2721.33101183057
Afghanistan,Cottonseed Oil,1194.9583754457449
Afghanistan,Dates,0.0006333894585943365
Afghanistan,Eggs,
Afghanistan,"Fats, Animals, Raw",
Afghanistan,"Fish, Seafood",99.50995408838969
Afghanistan,Fodder crops,1.0320293362760074e-14
Afghanistan,"Fruits, Other",6.190226597642539e-05
Afghanistan,Goats,
Afghanistan,Grapefruit and products,0.005086737098927705
Afghanistan,Grapes and products (excl wine),1.2612443829197126e-09
Afghanistan,Grazing,0.0
Afghanistan,Groundnut Cake,0.023225624630041988
Afghanistan,Groundnut Oil,0.9410395816590383
Afghanistan,Groundnuts,2164.96115348171
Afghanistan,"Hard Fibres, Other",2.311617814662861e-12
Afghanistan,Hides and skins,
Afghanistan,Honey,1.5803989682062014
Afghanistan,Hops,0.004205557159544151
Afghanistan,Horses,
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,
Afghanistan,"Lemons, Limes and products",1.646518140998309e-09
Afghanistan,Maize Germ Oil,64.04786374322518
Afghanistan,Maize and products,22893.04165141983
Afghanistan,"Meat, Other",
Afghanistan,Milk - Excluding Butter,
Afghanistan,Millet and products,2818640.8426174903
Afghanistan,Mules,
Afghanistan,Mutton & Goat Meat,
Afghanistan,Nuts and products,2.8995397665518617e-05
Afghanistan,Oats,353.4240958586884
Afghanistan,"Offals, Edible",
Afghanistan,"Oil, palm fruit",0.0
Afghanistan,"Oilcrops Oil, Other",9523.192069640878
Afghanistan,"Oilcrops, Other",3936.8170346801053
Afghanistan,"Oilseed Cakes, Other",1832.5526343827582
Afghanistan,Olive Oil,0.027954722433541895
Afghanistan,Olives (including preserved),6.110293730178095e-12
Afghanistan,Onions,0.0001035585920165921
Afghanistan,"Oranges, Mandarines",2.3406689558941712e-08
Afghanistan,Palm Oil,2.894546025487431e-09
Afghanistan,Palm kernels,0.0
Afghanistan,Palmkernel Cake,0.0009678185227766324
Afghanistan,Palmkernel Oil,3.579136504999608e-06
Afghanistan,Peas,7.518981439047965
Afghanistan,Pepper,0.0002885853880343311
Afghanistan,Pigmeat,
Afghanistan,Pigs,
Afghanistan,Pimento,0.7973041135006285
Afghanistan,Pineapples and products,1.6471588777245872e-10
Afghanistan,Plantains,1.1977547676954868e-20
Afghanistan,Potatoes and products,13114.66541008476
Afghanistan,Poultry Birds,
Afghanistan,Poultry Meat,
Afghanistan,"Pulses, Other and products",7120.9311281048995
Afghanistan,Rabbits and hares,
Afghanistan,Rape and Mustard Cake,870.4500262797334
Afghanistan,Rape and Mustard Oil,730.9934608815873
Afghanistan,Rape and Mustardseed,2537.5527848925394
Afghanistan,Rice and products,5575.480291471377
Afghanistan,Ricebran Oil,0.0
Afghanistan,"Rodents, other",0.0
Afghanistan,"Roots, Other",1028.2997674821247
Afghanistan,Rubber,0.001237535497020088
Afghanistan,Rye and products,129.87040459447857
Afghanistan,Seed cotton,13010.76057381584
Afghanistan,Sesame seed,13940.99356374781
Afghanistan,Sesameseed Cake,934.7033910937787
Afghanistan,Sesameseed Oil,469.24715554502865
Afghanistan,Sheep,
Afghanistan,Silk,549.0
Afghanistan,Sisal,0.0
Afghanistan,"Soft-Fibres, Other",0.02684171018832354
Afghanistan,Sorghum and products,492865513.7026421
Afghanistan,Soyabean Cake,32504409.080547985
Afghanistan,Soyabean Oil,22551868.891608514
Afghanistan,Soyabeans,34782231.017472275
Afghanistan,"Spices, Other",0.22205631006313883
Afghanistan,Sugar (Raw Equivalent),149525.2999023421
Afghanistan,Sugar beet,0.0
Afghanistan,Sugar cane,40000.0
Afghanistan,Sugar non-centrifugal,0.0
Afghanistan,Sunflower seed,12615906.080471847
Afghanistan,Sunflowerseed Cake,1531205.4182404934
Afghanistan,Sunflowerseed Oil,8257831.0308559155
Afghanistan,Sweet potatoes,105.82078604994383
Afghanistan,"Sweeteners, Other",4218.387901291932
Afghanistan,Tea (including mate),4.516207655388155e-08
Afghanistan,Tobacco,0.10867897940918173
Afghanistan,Tomatoes and products,1.980678597542613e-09
Afghanistan,"Vegetables, Other",602.4340647557393
Afghanistan,Wheat and products,68247.45146444725
Afghanistan,Wine,1.85751387552295e-05
Afghanistan,Wool (Clean Eq.),
Afghanistan,Yams,0.0
Albania,Abaca,0.0
Albania,"Alcohol, Non-Food",23732.07570347495
