area,item,amount [t]
Afghanistan,Abaca,0.0
Afghanistan,"Alcohol, Non-Food",2025.487422227335
Afghanistan,Apples and products,273405.02801858727
Afghanistan,Asses,0.0
Afghanistan,Bananas,97000.99140992851
Afghanistan,Barley and products,132317.72377547366
Afghanistan,Beans,0.0
Afghanistan,Beer,0.0
Afghanistan,"Beverages, Alcoholic",0.0
Afghanistan,"Beverages, Fermented",0.0
Afghanistan,Bovine Meat,130079.67547304148
Afghanistan,Buffaloes,0.0
Afghanistan,"Butter, Ghee",54415.910935161366
Afghanistan,"Camelids, other",0.0
Afghanistan,Camels,26135.14933923807
Afghanistan,Cassava and products,2896.508852852477
Afghanistan,Cattle,790892.4154394957
Afghanistan,"Cereals, Other",0.0
Afghanistan,"Citrus, Other",54795.95489789282
Afghanistan,Cloves,0.0
Afghanistan,Cocoa Beans and products,0.0
Afghanistan,Coconut Oil,0.0
Afghanistan,Coconuts - Incl Copra,2001.05829320245
Afghanistan,Coffee and products,0.0
Afghanistan,Copra Cake,0.0
Afghanistan,Cotton lint,24439.999999999964
Afghanistan,Cottonseed,47999.99999999992
Afghanistan,Cottonseed Cake,21011.134789005722
Afghanistan,Cottonseed Oil,18450.32219215421
Afghanistan,Dates,1001.0
Afghanistan,Eggs,55489.541228973845
Afghanistan,"Fats, Animals, Raw",11244.8098309766
Afghanistan,"Fish, Seafood",12148.990438968454
Afghanistan,Fodder crops,0.0
Afghanistan,"Fruits, Other",416138.99334959773
Afghanistan,Goats,3704094.537970799
Afghanistan,Grapefruit and products,999.8967993877321
Afghanistan,Grapes and products (excl wine),993592.8901876544
Afghanistan,Grazing,38066589.0
Afghanistan,Groundnut Cake,0.0
Afghanistan,Groundnut Oil,0.0
Afghanistan,Groundnuts,15050.244557118329
Afghanistan,"Hard Fibres, Other",0.0
Afghanistan,Hides and skins,45011.04446899287
Afghanistan,Honey,2000.0
Afghanistan,Hops,0.0
Afghanistan,Horses,0.0
Afghanistan,Jute,0.0
Afghanistan,Jute-Like Fibres,0.0
Afghanistan,"Lemons, Limes and products",1996.570648204445
Afghanistan,Maize Germ Oil,1891.8622881347128
Afghanistan,Maize and products,345095.18337815616
Afghanistan,"Meat, Other",12707.995138232505
Afghanistan,Milk - Excluding Butter,3250366.453634667
Afghanistan,Millet and products,5997.471236019551
Afghanistan,Mules,0.0
Afghanistan,Mutton & Goat Meat,157876.87396773926
Afghanistan,Nuts and products,76101.47559037399
Afghanistan,Oats,2000.7418377654092
Afghanistan,"Offals, Edible",60062.19000007037
Afghanistan,"Oil, palm fruit",0.0
Afghanistan,"Oilcrops Oil, Other",13648.714465025882
Afghanistan,"Oilcrops, Other",33895.63869578542
Afghanistan,"Oilseed Cakes, Other",18007.262287982292
Afghanistan,Olive Oil,1000.0000000000002
Afghanistan,Olives (including preserved),9000.0
Afghanistan,Onions,346053.0
Afghanistan,"Oranges, Mandarines",144039.98538043583
Afghanistan,Palm Oil,155297.67303861567
Afghanistan,Palm kernels,0.0
Afghanistan,Palmkernel Cake,0.0
Afghanistan,Palmkernel Oil,0.0
Afghanistan,Peas,27127.666891184424
Afghanistan,Pepper,0.0
Afghanistan,Pigmeat,0.0
Afghanistan,Pigs,0.0
Afghanistan,Pimento,2995.076271283805
Afghanistan,Pineapples and products,944.098129371952
Afghanistan,Plantains,0.0
Afghanistan,Potatoes and products,938202.8427928685
Afghanistan,Poultry Birds,127054515.04501799
Afghanistan,Poultry Meat,78617.59093530307
Afghanistan,"Pulses, Other and products",67816.4211116163
Afghanistan,Rabbits and hares,0.0
Afghanistan,Rape and Mustard Cake,894.6720311010299
Afghanistan,Rape and Mustard Oil,1743.8131066198675
Afghanistan,Rape and Mustardseed,0.0
Afghanistan,Rice and products,901003.3473207242
Afghanistan,Ricebran Oil,0.0
Afghanistan,"Rodents, other",0.0
Afghanistan,"Roots, Other",0.0
Afghanistan,Rubber,0.0
Afghanistan,Rye and products,0.0
Afghanistan,Seed cotton,74061.99999999988
Afghanistan,Sesame seed,41999.999999999796
Afghanistan,Sesameseed Cake,3381.9999999999845
Afghanistan,Sesameseed Oil,1999.999999999991
Afghanistan,Sheep,7101958.684497051
