scenario,time_step,initial production,cap,capped production,scaling
ALL,0,111751635237.6135,16000000000.0,16000000000.000002,0.14317463870644734
ALL,1,51026763220.49547,16175999999.999998,16176000000.0,0.317010113498689
ALL,2,22717455115.94245,16353935999.999998,16353935999.999996,0.7198841558851933
ALL,3,27975812178.828854,16533829295.999992,16533829295.999989,0.5910044430635774
ALL,4,95274536601.9449,16715701418.255993,16715701418.255993,0.17544773256776738
ALL,5,335781648053.66864,16899574133.856806,16899574133.85681,0.05032905827883635
ALL,6,503048380663.76416,17085469449.329231,17085469449.329231,0.03396386929381471
ALL,7,546663933746.9551,17273409613.27185,17273409613.271847,0.03159785847746731
ALL,8,574938259104.838,17463417119.01784,17463417119.01784,0.030374421674786208
ALL,9,596862199618.3982,17655514707.327034,17655514707.32704,0.029580554303179237
