scenario,time_step,total_prod,cap,caped_prod,scaling,production_before_cap,production_after_cap,trade,total_supply
ALL,0,16000000000.000002,16000000000.0,16000000000.000002,0.1431746387064473,,,,
ALL,1,16176000000.0,16175999999.999998,16176000000.0,0.317010113498689,,,,
ALL,2,12036962903.142317,16353935999.999998,12036962903.142317,1.0,,,,
ALL,3,,16533829295.999992,,1.0,,,,
ALL,4,,16715701418.255993,,1.0,,,,
ALL,5,,16899574133.856806,,1.0,,,,
ALL,6,,17085469449.329231,,1.0,,,,
ALL,7,,17273409613.27185,,1.0,,,,
ALL,8,,17463417119.01784,,1.0,,,,
ALL,9,,17655514707.327034,,1.0,,,,
URU,0,16000000000.0,16000000000.0,16000000000.0,0.1430900946512056,,,,
URU,1,16175999999.999998,16175999999.999998,16175999999.999998,0.316354576837518,,,,
URU,2,12091879987.55862,16353935999.999998,12091879987.55862,1.0,,,,
URU,3,,16533829295.999992,,1.0,,,,
URU,4,,16715701418.255993,,1.0,,,,
URU,5,,16899574133.856806,,1.0,,,,
URU,6,,17085469449.329231,,1.0,,,,
URU,7,,17273409613.27185,,1.0,,,,
URU,8,,17463417119.01784,,1.0,,,,
URU,9,,17655514707.327034,,1.0,,,,
HOA,0,16000000000.000002,16000000000.0,16000000000.000002,0.1430981838039137,,,,
HOA,1,16175999999.999996,16175999999.999998,16175999999.999996,0.3163735888615479,,,,
HOA,2,12091988132.520271,16353935999.999998,12091988132.520271,1.0,,,,
HOA,3,,16533829295.999992,,1.0,,,,
HOA,4,,16715701418.255993,,1.0,,,,
HOA,5,,16899574133.856806,,1.0,,,,
HOA,6,,17085469449.329231,,1.0,,,,
HOA,7,,17273409613.27185,,1.0,,,,
HOA,8,,17463417119.01784,,1.0,,,,
HOA,9,,17655514707.327034,,1.0,,,,
RUS,0,15999999999.999998,16000000000.0,15999999999.999998,0.1431573819033784,,,,
RUS,1,16176000000.0,16175999999.999998,16176000000.0,0.3169548721172954,,,,
RUS,2,12042087790.547329,16353935999.999998,12042087790.547329,1.0,,,,
RUS,3,,16533829295.999992,,1.0,,,,
RUS,4,,16715701418.255993,,1.0,,,,
RUS,5,,16899574133.856806,,1.0,,,,
RUS,6,,17085469449.329231,,1.0,,,,
RUS,7,,17273409613.27185,,1.0,,,,
RUS,8,,17463417119.01784,,1.0,,,,
RUS,9,,17655514707.327034,,1.0,,,,
PAK,0,16000000000.0,16000000000.0,16000000000.0,0.1430919989781225,,,,
PAK,1,16175999999.999994,16175999999.999998,16175999999.999994,0.3163821199679211,,,,
PAK,2,12091958830.125376,16353935999.999998,12091958830.125376,1.0,,,,
PAK,3,,16533829295.999992,,1.0,,,,
PAK,4,,16715701418.255993,,1.0,,,,
PAK,5,,16899574133.856806,,1.0,,,,
PAK,6,,17085469449.329231,,1.0,,,,
PAK,7,,17273409613.27185,,1.0,,,,
PAK,8,,17463417119.01784,,1.0,,,,
PAK,9,,17655514707.327034,,1.0,,,,
