scenario,time_step,total_prod,cap,scaling,production_before_cap,production_after_cap,trade,total_supply
ALL,0,114500134365.81,inf,1.0,,,,
ALL,1,114597260734.07974,inf,1.0,,,,
ALL,2,115254797538.30428,inf,1.0,,,,
ALL,3,113950293885.12009,inf,1.0,,,,
ALL,4,112654007085.8225,inf,1.0,,,,
ALL,5,111340985156.33151,inf,1.0,,,,
ALL,6,110255446373.72426,inf,1.0,,,,
ALL,7,109687148971.00592,inf,1.0,,,,
ALL,8,111050464290.62904,inf,1.0,,,,
ALL,9,121003310347.40636,inf,1.0,,,,
URU,0,114500134365.81,inf,1.0,,,,
URU,1,114663288619.83876,inf,1.0,,,,
URU,2,116031998213.4404,inf,1.0,,,,
URU,3,115276339042.55148,inf,1.0,,,,
URU,4,114397348262.68529,inf,1.0,,,,
URU,5,113211125129.25427,inf,1.0,,,,
URU,6,112219439863.05753,inf,1.0,,,,
URU,7,111689653047.3408,inf,1.0,,,,
URU,8,113065748905.34348,inf,1.0,,,,
URU,9,122960810861.93076,inf,1.0,,,,
HOA,0,114500134365.81,inf,1.0,,,,
HOA,1,114656967713.95148,inf,1.0,,,,
HOA,2,116024736156.77898,inf,1.0,,,,
HOA,3,115281824398.4822,inf,1.0,,,,
HOA,4,114438213190.56334,inf,1.0,,,,
HOA,5,113243456337.41222,inf,1.0,,,,
HOA,6,112151868233.41328,inf,1.0,,,,
HOA,7,111139712817.13528,inf,1.0,,,,
HOA,8,110254698994.70576,inf,1.0,,,,
HOA,9,109482793609.07166,inf,1.0,,,,
RUS,0,114500134365.81,inf,1.0,,,,
RUS,1,114610731754.12968,inf,1.0,,,,
RUS,2,115309634386.57344,inf,1.0,,,,
RUS,3,114014021946.63824,inf,1.0,,,,
RUS,4,112763092915.40182,inf,1.0,,,,
RUS,5,111436352166.035,inf,1.0,,,,
RUS,6,110242880268.59325,inf,1.0,,,,
RUS,7,109157772117.05956,inf,1.0,,,,
RUS,8,108198566780.93738,inf,1.0,,,,
RUS,9,107318226233.54909,inf,1.0,,,,
PAK,0,114500134365.81,inf,1.0,,,,
PAK,1,114661800504.5899,inf,1.0,,,,
PAK,2,116001904502.73875,inf,1.0,,,,
PAK,3,115257316117.60596,inf,1.0,,,,
PAK,4,114389912902.39099,inf,1.0,,,,
PAK,5,113193145587.96051,inf,1.0,,,,
PAK,6,112082486966.59216,inf,1.0,,,,
PAK,7,111057701189.07738,inf,1.0,,,,
PAK,8,110128682719.58661,inf,1.0,,,,
PAK,9,109278749934.63025,inf,1.0,,,,
